,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,8645 Founders Rd,,"Indianapolis, IN 46268-1393",tash@tkefoundation.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/tke-w-allan-herzog-scholarship/,"A past member of the TKE Educational Foundation Board of Directors, W. Allan Herzog was initiated a Teke at Nu Chapter at the University of California - Berkeley in 1949. Prior to becoming an investment advisor, he held positions as a company president, financial officer and Certified Public Accountant. He has served on the board of directors of numerous governmental, civic and professional organizations, including the Financial Executives Institute. Frater Herzog was a recipient of the TKE Alumnus of the Year Award in 1989 and the Fraternity for Life Award in 2001. He serves on the Foundation's Council of Advisors.(adsbygoogle = window.adsbygoogle || []).push({});All of the TKE Educational Foundation leadership and scholarship awards are for the benefit of active members of Tau Kappa Epsilon Fraternity.This scholarship is available to an undergraduate member of Nu Chapter of TKE, with a 2.75 GPA, who is a full-time student pursuing a degree in accounting, finance or economics. If no one qualifies, any other undergraduate member of Nu Chapter with a 2.75 GPA will be accepted. If Nu Chapter has no applicants with a 2.75 average, applicants from other TKE chapters in accounting, finance or economics may be considered. All  applicants must have at least one full year of undergraduate study remaining.",TKE W. Allan Herzog Scholarship
0,8645 Founders Rd,,"Indianapolis, IN 46268-1393",tash@tkefoundation.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/tke-educational-foundation-harry-j-donnelly-memorial-scholarship/,"Considered the “father” of the TKE Educational Foundation, Harry J. Donnelly was initiated a Teke at Alpha-Kappa Chapter at the University of Pennsylvania. He served as Province Hegemon (now Grand Province Advisor), as an advisor to both Alpha-Pi and Nu-Pi Chapters, and as a member of various Fraternity committees. He was honored as a recipient of the Grand Prytanis Award in 1959, the Order of the Golden Eagle Award in 1985, and received the TEF Fraternity for Life Award posthumously in 2000. Mrs. Ellanor “Babe” Donnelly established the scholarship in loving memory of her husband for the benefit of members of Tau Kappa Epsilon.(adsbygoogle = window.adsbygoogle || []).push({});All of the TKE Educational Foundation leadership and scholarship awards are for the benefit of active members of Tau Kappa Epsilon Fraternity.This scholarship is awarded in recognition of academic achievement with GPA of at least 3.0 or higher, and recognizes outstanding leadership within the chapter, on campus, and within the community. The applicant must be pursuing an undergraduate degree in accounting or a graduate degree in law, and plans to be a full-time student the following year.",TKE Educational Foundation Harry J. Donnelly Memorial Scholarship
0,15249 North 59th Avenue,,"Glendale, AZ 85306",finaid@t-bird.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/thunderbird-scholarships/,"Thunderbird has a rich history of providing the finest international business management education in the world. The quality of the Thunderbird experience is reflected in the fact that more than 35,500 of our graduates play leading roles at the best businesses in 141 different countries worldwide.(adsbygoogle = window.adsbygoogle || []).push({});Thunderbird evaluates all highly-qualified entering students for scholarships. All entering students are eligible and are evaluated during the admissions process. Selection is based on the documentation submitted with your application; there is no need to apply.If you are interested in learning more about the Thunderbird program and our scholarship opportunities, please visit our website.",Thunderbird Scholarships
0,Mike Molino RV Learning Center,3930 University Dr,"Fairfax, VA 22030",info@rvda.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/the-mike-molino-rv-learning-centers-scholarship-program/,"The Mike Molino RV Learning Center's Scholarship Program encourages deserving college undergraduates majoring in business, finance, economics, accounting or other RV industry-related subjects to apply for the award. The program offers financial assistance to help foster the next generation of RV industry leaders. Therefore a factor for awarding the scholarship is an applicant’s background of RV industry employment or a desire to work in the RV business after completing post-secondary education. RVDA members are able to offer this opportunity to their team specifically because of their employment in the RV industry. Posters publicizing the scholarship are available through the RV Learning Center so dealers can display them in the workplace to alert employees to the opportunity. Dealer principals, their family and dependents, are not eligible.(adsbygoogle = window.adsbygoogle || []).push({});Qualified applicants:-Submit a completed application and fact sheet in its entirety-Have a 2.8 or better cumulative grade point average, and a 1050 minimum SAT score (1575 minimum on the 2400 point scale). A minimum ACT composite score of 22 is also acceptable-Are rising sophomores, juniors, or seniors in college-Provide a 500 word essay on their goals and objectives for attending college-Submit a copy of their Free Application for Federal Student Aid (FAFSA)-Demonstrate the ability and willingness to fund a portion of their educational expenses on their own-Attend an accredited four-year college or universityFor more information or to apply, please visit the scholarship provider's website.",The Mike Molino RV Learning Center's Scholarship Program
0,Educational Foundation for Women in Accounting,136 South Keowee Street,"Dayton, OH 45402 -224",info@efwa.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/the-laurels-fund/,"The Laurels Fund was established in 1978 for the purpose of providing scholarships to female students who are pursuing advanced degrees in accounting. Scholarships may be awarded to deserving Ph.D. students who have completed comprehensive exams prior to the previous fall semester. The selection of award recipients is based on scholarship, involving academic achievements in course work and research activities, service, including any volunteer work to which the applicant has made significant or long-term commitments and financial need. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The Laurels Fund
0,801 S. Fillmore,Suite 700,"Amarillo, TX 79101",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/the-a-a-and-hattie-mae-bush-accounting-scholarship/,"This scholarship was established in 1978 by the late A.A. and Hattie Mae Bush, longtime residents of Amarillo. Bush, an accountant and entrepreneur, enjoyed giving a helping hand to younger people.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Graduating senior or currently enrolled college student from the 26 northernmost counties of the Texas Panhandle or students currently attending the restricted colleges/universities listed at the provider's website-Major in accounting-Maintain a 2.5 cumulative GPA while in college-Must attend Amarillo College, Texas Tech University, or West Texas A&M UniversityFor more information or to apply, please visit the scholarship provider's website.",The A.A. and Hattie Mae Bush Accounting Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/tactyc-scholarships/,"Teachers of Accounting at Two-Year Colleges (TACTYC) is pleased to announce that multiple scholarships in the amount of $1,000 each will be awarded to two-year college graduating students that are pursuing a Bachelor's Degree in Accounting at a four-year college during the upcoming academic year. Scholarship awards must be used during the upcoming academic year or be forfeited.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Have completed at least 20 college semester credit hours, six of which must be in accounting by the end of the spring semester-Have minimum 3.0 GPA-Be currently attending a two-year college as a full-time or a part-time student with plans to transfer to a four-year institution (enrolling in at least 6 hours) in a Bachelor's Degree program in accounting for the upcoming academic year-Provide transcripts-Have made a commitment to a career in accounting-Provide a one-to-two page self-description which includes academic and professional goals-Complete a one-to-two page essay answering the required question for the ""Creative Sweets"" case study-Be recommended by an accounting faculty member. We will request recommendation letters from faculty member via emailFor more details and to apply, please visit the scholarship provider's webiste.",TACTYC Scholarships
0,"1140 19th Street, NW",Suite 500,"Washington, DC 20036",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/surety-and-fidelity-industry-intern-scholarship-program-for-minority-students/,"The Surety Industry Scholarship Program provides awards of up to $5,000 to outstanding minority students to support their studies in the areas of insurance/risk management, accounting, or business/finance and to encourage their consideration of the surety industry and surety underwriting as a career choice.  Applicants must have a declared insurance/risk management, accounting or business/finance major with an overall and major GPA of at least 3.0. They must also have satisfactorily completed at least 30 semester hours, equivalent college work including at least 6 semester hours in his/her declared major and be enrolled as a full-time undergraduate student (a minimum of 12 semester hours or equivalent) at an accredited four-year institution. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Surety & Fidelity Industry Intern-Scholarship Program for Minority Students
0,"UAS7 NY, Rm. 1508",871 United Nations Plaza,"New York, NY 10017",apply@uas7.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/study-and-internship-program-sip-in-germany-uas7/,"Internships typically last 5-6 months, but UAS7 research internships may run from 2-6 months, depending on the specifications of the project description. Recipients will receive a full tuition waiver for both semesters (enrollment is also required during the internship to maintain residency in Germany) and the benefits provided to exchange students at the host UAS. Successful SIP applicants are eligible for a UAS7 Travel Scholarship.(adsbygoogle = window.adsbygoogle || []).push({});Applicants must be full-time sophomores or juniors in good academic standing and currently enrolled in an undergraduate program at an accredited U.S. or Canadian college/university, in a field represented on UAS7 campuses.Competitive applicants will have a minimum 3.0 GPA, language skills commensurate with their proposed course of study and internship in Germany, strong support from academic and study abroad advisors, and a well-reasoned study plan and statement of motivation.For more information or to apply, please visit the scholarship provider's website.",Study & Internship Program (SIP) in Germany - UAS7
0,P.O. Box 638,,"Pierre, SD 57501",donna@sdra.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/south-dakota-retailers-association-jerry-wheeler-scholarship-program/,"South Dakota Retailer Association's (SDRA) Jerry Wheeler Scholarship program is designed to encourage and support students studying for a career in retailing. To be eligible, the applicant must be enrolled in or planning to enroll in a retail-related course of study at a technical school, college or university, or other trade schools in the fall of the application year. Students must meet one of these requirements: have graduated from a South Dakota high school; or have earned a GED in South Dakota; or plan to attend post-secondary school in South Dakota. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",South Dakota Retailers Association Jerry Wheeler Scholarship Program
