,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,1605 NW Sammamish Rd.,Suite 200,"Issaquah, WA 98027-5388",info@waopportunityscholarship.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/washington-state-opportunity-scholarship/,"The Washington State Opportunity Scholarship (WSOS) supports low- and middle-income students pursuing eligible high-demand majors in science, technology, engineering, math (STEM) or health care and encourages recipients to work in Washington state once they complete their degrees. Students must have a minimum 2.75 GPA and plan to enroll in an eligible Washington state college or university.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",Washington State Opportunity Scholarship
0,7178 Columbia Gateway Dr.,,"Columbia, MD 21046",scholarship@usra.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/universities-space-research-association-usra-scholarship-awards/,"The USRA Scholarship Awards provide college scholarship awards to students who have shown a career interest in space science research, aeronautics-related sciences, or space science education. To be considered, applicants must be full-time undergraduate students attending a four-year accredited college or university that offers courses leading to a degree in science or engineering. Applicants must be within two years (juniors and seniors) of earning a bachelor's degree in a field of science or engineering, including science education, by the time the award is received. For a complete list of scholarships offered, more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Universities Space Research Association (USRA) Scholarship Awards
0,c/o Pace University Academy for Applied Environmental Studies,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/theodore-gordon-flyfishers-inc-founders-fund-scholarship/,"This merit scholarship is offered annually in the name of the TGF founders, to a single recipient who has demonstrated excellence and outstanding dedication in a field of study that falls within an environmental field of a school or department. It was the hope of the founders, as it is the hope of the current membership of Theodore Gordon Flyfishers, that the recipient will use this scholarship to assist his or her studies, and after graduation seek employment in the tri-state region in either the public or private sector furthering the cause of environmental protection and riparian habitat conservation for the benefit of all. This scholarship is available to undergraduate juniors who will be seniors and first or second year graduate students. The eligible applicant's major shall be in an area of environmental studies such as, but not limited to, ecology, hydrology, conservation biology, natural resource management, zoology or environmental law and policy. Based on a 4.0 scale, the applicant shall demonstrate merit with a current 3.5 GPA in the environmental concentration courses and an overall minimum 3.0 GPA. The scholarship is open to U.S. citizens only. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});","Theodore Gordon Flyfishers, Inc. Founders Fund Scholarship"
0,1359 Broadway,Suite 2000,"New York, NY 10018",chavie.brumer@claimscon.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/the-saul-kagan-fellowship-in-advanced-shoah-studies/,"The Kagan Fellowship in Advanced Shoah Studies welcomes applications from Ph.D. and post-doc candidates from around the world for funding for the September through the following August academic year.(adsbygoogle = window.adsbygoogle || []).push({});Ph.D. Requirements:-Be enrolled and good standing in a Ph.D. program that supports the study of the Holocaust-Study/have studies a language of Eastern Europe or the former Soviet Union necessary for the research of Holocaust-related documents, or if the field of study will be focused on a particular country or region, to study (or have already studied) the relevant languages of that region-Attend and present their research at an annual Kagan Fellowship summer week-long conference. There is no residency requirement other than the summer conference-Must commit to full-time employment primarily in Holocaust Studies on an academic level for a minimum of five years after receiving a Ph.D.Post-Doctoral Requirements:-Be enrolled and in good standing in a post-doctoral program that is focused on or supports the study of the Holocaust.-Be able to focus on the research without external commitments, such as employment.  Those teaching a course as part of their post-doc requirement may applyCandidates should have received their Ph.D. within the last five years and be connected to a university or research institution-Commit to full-time employment primarily in Holocaust Studies on an academic level for a minimum of five years after completing the post-doctorate-Attend and present their research at an annual summer week-long conference. There is no residency requirement other than the summer conferenceFor more information or to apply, please visit the scholarship provider's website.",The Saul Kagan Fellowship in Advanced Shoah Studies
0,600 Wilshire Blvd.,Suite 1520,"Los Angeles, CA 90017",tlfinfo@lagrant.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/the-lagrant-foundation-undergraduate-scholarships/,"LAGRANT Foundation Undergraduate Scholarship recipients will receive a trip to New York or San Francisco where they will participate in career building activities including a welcome dinner with a keynote speaker, two daylong career & professional development workshops and a scholarship and donor recognition reception. Applicants must be from a minority ethnic group, studying a field of study that has an emphasis on advertising, marketing or public relations. A minimum 3.0 GPA is required. The winner must also make a one-year commitment to maintain contact with TLF to receive professional guidance and academic support. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The LAGRANT Foundation Undergraduate Scholarships
0,600 Wilshire Blvd.,Suite 1520,"Los Angeles, CA 90017",tlfinfo@lagrant.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/the-lagrant-foundation-tlf-graduate-scholarships/,"The LAGRANT Foundation (TLF) Graduate Scholarships are available to minority students who are full-time students at a four-year, accredited institution, carrying a total of 12 units or more per semester/quarter and have a minimum 3.2 GPA. Additionally, applicants must be majoring in a field of study that has an emphasis in advertising, marketing or public relations, and must have a minimum of two academic semesters or one year left to complete his/her master's degree. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The LAGRANT Foundation (TLF) Graduate Scholarships
0,1411 W. 190th Street,Suite 700,"Gardena , CA 90248",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/the-hispanic-scholarship-fund-college-scholarships/,"HSF/ General College Scholarships are designed to assist students of Hispanic heritage in obtaining a college degree. Scholarships are available on a competitive basis to graduating high school seniors, community college transfer students, undergraduate students and graduate students. Applicants must be of Hispanic heritage and have a minimum of 3.0 GPA for high school students. A minimum of 2.5 GPA for college and graduate students. Plan to enroll full-time in an accredited not-for-profit, four-year university or graduate school during the fall of the scholarship cycle year. U.S. Citizen, permanent legal resident, DACA or eligible non-citizen. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The Hispanic Scholarship Fund College Scholarships
0,1601 Maple Street,,"Carrollton, GA 30118",rcrook@westga.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/the-antonio-j-waring-jr-scholarship-fund-endowment/,"In accordance with the primary mission of the fund, The Antonio J. Waring, Jr. Scholarship Fund Endowment awards the Antonio J. Waring, Jr. Anthropology Endowment Scholarship to Anthropology majors at the University of West Georgia. These awards offset the cost of education for students, taking into account the costs of tuition, fees, books, and room and board. New in 2010, is the Antonio J. Waring, Jr. Research Scholarship. This award is designed to support original student research in Anthropology and has as its goal the presentation of student research findings publicly and professionally. The guidelines for scholarship awards and the qualifications of the students to whom the awards are made are established by the faculty and may be amended from time to time. The recipients of scholarships are determined by the faculty based upon due consideration of these guidelines and qualifications.(adsbygoogle = window.adsbygoogle || []).push({});These competitive $1,500 scholarships are for students to study Anthropology at the University of West Georgia. These awards for Anthropology majors are based upon academic achievement and potential for scholarly growth. Anthropology Endowment Scholarships may be awarded to:-Graduating high school seniors who will attend UWG and major in Anthropology-Newly declared Anthropology majors at UWG-Current Anthropology majors at UWG-Transfer students who major in Anthropology at UWGApplication process:Submit a 3-5 page research proposal (not including cover page), a budget sheet, and a cover page signed by you and your supervising professor, which includes the following information (in labeled sections):1. Abstract: This should be a brief (150-250 words) description of your project that, if funded, will be posted on the website. This goes onto the cover page.2. Project Description: Describe your research topic, questions, and objectives. Please state your hypotheses if relevant. What will be the focus of your research?3. Relevant Literature: What existing anthropological literature will your research engage with and build on? Please include at least 3 references and describe their relevance to your project.4. Methods: There are two parts: 1. What information will you need to gather to address your research questions? 2. How will you gather this information? What methods will you use?5. Your training and background: What experiences do you have that prepare you to undertake this research, including classes taken, previous research (if so, list funding received, if any), extracurricular experiences, etc.?6. Product: You will propose research products to include: 1. A public talk for faculty and students in the Anthropology Department; and 2. a professional presentation, which could consist of a public oral or poster presentation (such as at Research Day or a professional conference), or the submission of a manuscript for publication. Please specify the venues you plan to present in (note: you do not have to commit to anything, but provide realistic suggestions). As part of your final product, you will need to turn in a hard copy of the text of your presentation (not just PowerPoint slides). 3. At the end of your project, you will also need to turn in a photo and a short paragraph about your research to be published on the departmental website.7. Budget (submitted on a separate sheet of paper): You may be awarded up to $600 in reimbursement for research expenses, for which you will provide a budget. Acceptable expenses include, for example, travel for research, travel to conferences, supplies, equipment, software, postage, printing, registration for conferences, books (up to $200 total for books).Deadlines are October 15 and March 15. For more details and to apply, please visit the scholarship provider's website.","The Antonio J. Waring, Jr. Scholarship Fund Endowment"
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/scarlett-family-foundation-scholarship/,"Scarlett Family Foundation Scholarships are open to high school seniors and college freshmen, sophomores, and juniors who will graduate or have graduated from high school in one of the following Middle Tennessee counties: Bedford, Cannon, Cheatham, Clay, Coffee, Cumberland, Davidson, Dekalb, Dickson, Fentress, Franklin, Giles, Hickman, Houston, Humphreys, Jackson, Lawrence, Lewis, Lincoln, Macon, Marshall, Maury, Montgomery, Moore, Overton, Perry, Pickett, Putnam, Robertson, Rutherford, Smith, Stewart, Sumner, Trousdale, Van Buren, Warren, Wayne, White, Williamson and Wilson.(adsbygoogle = window.adsbygoogle || []).push({});Scarlett Family Foundation scholarships are open to middle Tennessee high school seniors, who will graduate or obtain a GED prior to June 1st and to college freshman, sophomores and juniors.Applicants must demonstrate financial need and must be planning to pursue a business degree at a four-year, not-for-profit college. Must have a minimum GPA of 2.5 and must be pursuing a business or STEM approved degree at a 4 year, non-profit college or university, with the intent to enroll full-time in the fall. For more information and to apply, please visit the scholarship provider's website.",Scarlett Family Foundation Scholarship
0,P.O. Box 91803,,"Pasadena, CA 91109",scholarships@noglstp.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/out-to-innovate-scholarships-for-lgbtqstem-students/,"NOGLSTP established the Out To Innovate Scholarships for LGBTQ STEM students which are intended for undergraduate and graduate students pursuing degrees in science, technology, engineering, or mathematics (STEM) programs who are either lesbian, gay, bisexual, transgender, queer or an active ally of the LGBTQ community. One scholarship will go to an undergraduate student, and one will go to a graduate/professional level student. Applicants must have successfully completed a minimum of two years of post-high school education at an accredited college or university, have a minimum 3.0 GPA, a declared major in an accredited STEM or STEM-related teaching field and be an active supporter of and participant in programs or organizations that promote LGBTQ inclusion and visibility. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Out To Innovate Scholarships for LGBTQ+STEM Students
