,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,American Society for Pharmacology & Experimental Therapeutics,9650 Rockville Pike,"Bethesda, MD 20814-3995",cfry@aspet.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/zannoni-summer-undergraduate-research-fellow-surf-awards/,"The ASPET Summer Undergraduate Research Fellow (SURF) Awards introduce undergraduate students to pharmacology research. Our goal is to use authentic, mentored research experiences in pharmacology to heighten student interest in careers in research and related health care disciplines.(adsbygoogle = window.adsbygoogle || []).push({});Undergraduate students conducting pharmacology-related research including, but not limited to, students representing departments of pharmacology, toxicology, pharmaceutical sciences, and/or biological chemistry are encouraged to apply for this program. Applications from those traditionally underrepresented in the biomedical sciences are particularly encouraged.",Zannoni Summer Undergraduate Research Fellow (SURF) Awards
0,118 Pleasant Acres Rd,,"York, PA 17402",kyoung@yorkccd.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/york-county-conservation-district-scholarship/,"Eligibility:(adsbygoogle = window.adsbygoogle || []).push({});-Must be a York County resident-Attending a college or university in the United States-Majoring in agriculture, conservation, environment, natural resource management or related field-Open to students who have completed their first semester of collegeSubmission materials:-A completed Conservation District application form-One written statement of scholarship need-Your written career goals for your chosen field of study-A detailed written description of any involvement in conservation activities, studies or related field experiences-College transcripts (high school transcript if incoming freshman)-One recommendation letter-One character reference letterFor more information or to apply, please visit the scholarship provider's website.",York County Conservation District Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/woodrow-wilson-teaching-fellowship/,"The Woodrow Wilson Teaching Fellowship program recruits and trains the nation's best and brightest recent graduates and career changers with STEM backgrounds to teach in high-needs middle and high school science and math classrooms.(adsbygoogle = window.adsbygoogle || []).push({});The Teaching Fellowship includes:- admission to a master's degree program at a well-established partner university- teacher certification in science, mathematics or technology education- extensive preparation for teaching in a high-need urban or rural secondary school for one full year prior to becoming the teacher-of-record in a science or math classroom- a $30,000 stipend (Once Fellows are certified teachers at the end of the first year, they obtain salaried employment in high-need schools.)- support and mentoring throughout the three-year teaching commitment- support of a cohort of WW Fellows passionate about science and math education- lifelong membership in a national network of Woodrow Wilson Fellows who are intellectual leadersThe Fellowship is open to college seniors, graduates, and career changers who:- have majored in and/or have a strong professional background in a STEM field (science, technology, engineering, or math);- demonstrate a commitment to the program and its goals;-  have U.S. citizenship or permanent residency;-  have attained, or expect to attain by June 30, this upcoming year, a bachelor's degree from an accredited U.S. college or university or its international equivalent (Note: Undergraduate degrees earned outside the U.S. are accepted if an approved credential evaluator declares the degree equivalent to an earned U.S. bachelor’s degree.);- a cumulative undergraduate grade point average (GPA) of 3.0 or better on a 4.0 scale is preferred (Note: Candidates who can demonstrate excellence through other avenues will also be considered. All applications are considered in their entirety and selection is based on merit.)To learn more and apply, check out our website.",Woodrow Wilson Teaching Fellowship
0,1605 NW Sammamish Rd.,Suite 200,"Issaquah, WA 98027-5388",info@waopportunityscholarship.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/washington-state-opportunity-scholarship/,"The Washington State Opportunity Scholarship (WSOS) supports low- and middle-income students pursuing eligible high-demand majors in science, technology, engineering, math (STEM) or health care and encourages recipients to work in Washington state once they complete their degrees. Students must have a minimum 2.75 GPA and plan to enroll in an eligible Washington state college or university.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",Washington State Opportunity Scholarship
0,1201 Locust Avenue,,"Fairmont , WV 26554",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/vincent-and-catherine-sansalone-scholarship/,"The Vincent and Catherine Sansalone Scholarship recipient is selected by the College of Science and Technology and must be majoring in a math or science discipline with a minimum overall GPA of 3.0. Preference is given to students of Italian American heritage. Students may be required to submit a paper describing the influences of their heritage and culture in their life.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",Vincent and Catherine Sansalone Scholarship
0,,,",",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/utah-space-grant-consortium-fellowships-and-scholarships/,"The Utah NASA Space Grant Consortium has formulated its vision, mission, goals, and objectives to be consistent with those of NASA and its Office Education. Member schools offer scholarships and fellowships for STEM degree students who align with the goals of the consortium.(adsbygoogle = window.adsbygoogle || []).push({});The Goals of the Consortium are:-To demonstrably contribute to the development of the STEM Workforce with programs, projects and activities that are in direct alignment with NASA’s stated education strategic goals, missions and with her defined outcomes, objectives and PART measures.-To attract and retain students and teachers in the STEM disciplines who have a solid understanding of the subject material.-Conduct an Informal Education program to form strategic partnerships and linkages between STEM formal and informal providers leading to an expansion of the nation’s future STEM workforce through awareness of the mission of NASA and the promotion of STEM literacy.For more information or to apply, please visit the scholarship provider's website.",Utah Space Grant Consortium Fellowships & Scholarships
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/usda-pathway-programs-william-f-helms-internship-program/,"Interested in a career in agriculture, botany, plant pathology, entomology, or other biological sciences? The USDA Pathways Program: William F. Helms Internship program provides university and college-level students with the opportunity to help protect U.S. agriculture and the environment while facilitating global trade of pest and disease-free agricultural goods. Students may experience hands-on activities like inspecting plants, plant products, and other regulated items for pests or disease; conducting crop and commodity surveys; assisting with the identification of suspected pests and diseases, or participating in plant health emergency response efforts.(adsbygoogle = window.adsbygoogle || []).push({});Students accepted into the program will receive tuition assistance while pursuing a degree, mentoring, paid work experience during school breaks (both summer and holiday periods), career exploration, and possible permanent employment upon successful completion of education, training, and work requirements.Eligibility:-Be a U.S. citizen-Be enrolled or accepted for enrollment in an accredited college or university-Be a sophomore or junior with a minimum cumulative 2.5 GPA-Be enrolled in programs related to agriculture or the biological sciences-Agree to work for the agency during school breaks (both summer and holiday breaks) a minimum of 640 hours prior to completion of studiesFor more information or to apply, please visit the scholarship provider's website.",USDA Pathway Programs: William F. Helms Internship Program
0,"1400 Independence Avenue, SW",,"Washington, DC 20250",1890init@usda.gov,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/usda-1890-national-scholars-program/,"The USDA/1890 National Scholars Program is a partnership between of the United States Department of Agriculture (USDA) and 1890 Historically Black Land-Grant Universities. The program awards scholarships to students attending one of 1890 Historically Black Land-Grant Universities, pursuing a bachelor degree in agriculture, natural resources, food science, nutrition, or related academic disciplines, and willing to work full-time in the USDA upon graduation. Applicants must have a minimum 3.0 GPA and demonstrate leadership and community service. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",USDA 1890 National Scholars Program
0,7178 Columbia Gateway Dr.,,"Columbia, MD 21046",scholarship@usra.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/universities-space-research-association-usra-scholarship-awards/,"The USRA Scholarship Awards provide college scholarship awards to students who have shown a career interest in space science research, aeronautics-related sciences, or space science education. To be considered, applicants must be full-time undergraduate students attending a four-year accredited college or university that offers courses leading to a degree in science or engineering. Applicants must be within two years (juniors and seniors) of earning a bachelor's degree in a field of science or engineering, including science education, by the time the award is received. For a complete list of scholarships offered, more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Universities Space Research Association (USRA) Scholarship Awards
0,8333 Greenwood Blvd.,,"Denver, CO 80221",scholarships@collegefund.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/united-health-foundation-scholarship-for-tribal-colleges/,"Native American/Alaska Native undergraduate students attending tribal colleges and universities are eligible to apply for both the American Indian College Fund Full Circle Scholarship Program and the American Indian College Fund TCU Scholarship Program.(adsbygoogle = window.adsbygoogle || []).push({});Minimum general eligibility requirements for both scholarships include:-U.S. citizenship-Enrollment in an accredited tribal college or university-Registered as a member of a federal or state recognized tribe, or a descendant of at least one grandparent or parent who is an enrolled tribal member (Alaska Natives may also use Native Corporation membership)-Submission of a completed on-line applicationExtra Eligibility for the United Health Foundation Scholarship:-Be a Freshman or Sophomore-Minimum 3.0 GPA-Enrolled at Dine College, Tohono O'odham Community College, or Navajo Technical College-Majoring in a health or related field-Interest in serving communities in need-Demonstrated financial needFor more information or to apply, please visit the scholarship provider's website.",United Health Foundation Scholarship for Tribal Colleges
