,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,350 South Bixel Street,,"Los Angeles, CA 90017",Jgonzalez@lachamber.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/world-trade-week-high-school-scholarship/,"The World Trade Week Education Committee offers annual scholarship awards to encourage outstanding young women and men to continue in post-secondary study in the field of International Trade and Business. The amount of the award is $500. Those who apply for this scholarship will also be in the running to potentially receive another additional $500 scholarship - the Global Trade Scholar Award.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Must be a graduating high school senior entering an accredited college of university with a standard minimum GPA of 3.0-Students must indicate their interest in participating in the global economy through their choice of career goals discussed in their essay. Please note that their college major does not have to be international business or international relations. Rather the area of most importance is their career choice.Submission materials:-One page, typed, single-spaced, essay discussing the student's future college and career goals. The statement must explain how their chosen career relates to international trade and what they understand international trade to be. (typed)or-Create a two-minute video submissionFor more information or to apply, please visit the scholarship provider's website.",World Trade Week High School Scholarship
0,350 South Bixel Street,,"Los Angeles, CA 90017",jgonzalez@lachamber.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/world-trade-week-college-university-scholarship/,"The World Trade Week Education Committee is sponsoring several $1,000 scholarships for students intending to pursue a career in international trade. Those who apply for this scholarship will also be in the running to potentially receive another additional $500 through selection as the Global Trade Scholar Award.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Full-time student: A candidate must be enrolled in a full-time academic program relating to international trade with verification of a minimum 3.0 GPA. If a student's major does not have an international dimension, an international trade internship will suffice.-Internship Report (one to two pages): Essay should detail the candidate's demonstrated commitment to a career related to international trade and/or global business through an internship related to these fieldsor-Create a video no more than two minutes that shows viewers what inspired you to take on an international trade related internship and what you plan to do in the future with you've learned-Letter of Recommendation: two Letters of Recommendation, one of the letters must from the faculty member-Future Mentor: a candidate must be willing to become a future international trade mentor to other students once he or she has become an international business professionalThe purpose of the scholarships is to foster international trade education and international business development.For more information or to apply, please visit the scholarship provider's website.",World Trade Week College/University Scholarship
0,11175 Santa Monica Blvd,Suite 440,"Los Angeles, CA 90025",kelly@interactive.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/womenin-scholarship/,"The WomenIn Scholarship is part of the AIAS Foundation's WomenIn Initiative, a collaborative effort to increase gender equity in the interactive entertainment industry. This scholarship opportunity is for women pursuing careers in either video game development or the business of video games. Undergrad and graduate students in any discipline including programming, game design, law, business, and marketing are eligible to apply. Winners will receive $2,500 and the opportunity to participate in a year-long mentoring program where they are partnered one-on-one with industry veterans. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",WomenIn Scholarship
0,Reagan Place at Old Parkland,"3963 Maple Avenue, Ste. 390","Dallas, TX 75219",scholarships@dallasfoundation.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/whitley-place-scholarship/,"The Dallas Foundation manages a number of scholarships for students with diverse interests. Established in 2009, the Whitley Place Scholarships seeks to provide aid to graduating seniors in Prosper ISD who plan to study civil engineering, construction science, construction management, architecture, landscape architecture, planning, public administration, mechanical engineering, or other math/science related fields.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Be a graduating senior of a high school in Prosper Independent School District-Have applied to and plan to attend an accreted college/university-Plan to pursue studies in the area of civil engineering, construction science, construction management, architecture, landscape architecture, planning, public administration, mechanical engineering, or other math/science related fields-Have a minimum B average during high school (3.0 on a 4.0 scale)-Be a U.S. citizen or legal residentThe scholarship will be reviewed annually and may be renewed for up to three additional years.For more information and to apply, please visit the scholarship providers website.",Whitley Place Scholarship
0,1005 North Glebe Rd.,Suite 250,"Arlington, VA 22201",ldavislaux@nationalgrocers.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/wga-mary-macey-scholarship/,"The Women Grocers of America (WGA) is pleased to assist the National Grocers Association (NGA) in its pursuit to recruit and retain the next generation of quality managers and entrepreneurs. We offer academic scholarships worth $1,500 each to students who intend to pursue a career in the independent sector of the grocery industry. Applicants must be independent grocery retailers and wholesalers, their employees and families, including WGA and NGA members and have a 2.0 GPA or better. You must be an entering sophomore or continuing student in good standing in a two-year, associate degree-granting institution or four-year, bachelor degree-granting institution or graduate program and must currently work in the independent grocery industry. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",WGA Mary Macey Scholarship
0,751 West Fourth Street,Suite 200,"Winston-Salem, NC 27101-2702",StudentAid@wsfoundation.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/wes-burton-memorial-scholarship/,"The Wes Burton Memorial Scholarship is awarded to worthy graduating high school seniors from Mt. Tabor High School.  Scholarships are to be applied to cost of undergraduate tuition, fees, and room and board at an accredited college or university.(adsbygoogle = window.adsbygoogle || []).push({});To receive consideration, applicants must:-Have a minimum unweighted GPA of 3.5-Demonstrate examples of community and school service-Major in mathematics, computer science, business administration, or engineering in college-Demonstrate financial need, but not restricted to lowest family incomes (student's merit will be considered to a greater degree)For more information or to apply, please visit the scholarship provider's website.",Wes Burton Memorial Scholarship
0,"1400 Independence Avenue, SW",,"Washington, DC 20250",1890init@usda.gov,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/usda-1890-national-scholars-program/,"The USDA/1890 National Scholars Program is a partnership between of the United States Department of Agriculture (USDA) and 1890 Historically Black Land-Grant Universities. The program awards scholarships to students attending one of 1890 Historically Black Land-Grant Universities, pursuing a bachelor degree in agriculture, natural resources, food science, nutrition, or related academic disciplines, and willing to work full-time in the USDA upon graduation. Applicants must have a minimum 3.0 GPA and demonstrate leadership and community service. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",USDA 1890 National Scholars Program
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/united-advisory-scholarship-commission-scholarship-fred-a-ittner-scholarship/,"When Fred A. Ittner passed away in California in November, 1979, his wife Lydia created a scholarship fund in his memory in 1980. This scholarship will be awarded to graduating seniors from Arthur Hill High School pursuing a degree in Business Administration.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:- Graduating senior from Arthur Hill High School- Pursuing a degree in Business Administration- Full-time enrollmentFor more information or to apply, please visit the scholarship provider's website.",United Advisory Scholarship Commission Scholarship - Fred A. Ittner Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/uncf-carnival-corporate-scholars-program/,"The UNCF/Carnival Corporate Scholars Program, sponsored in partnership with Carnival Corporation, is seeking college sophomores with an interest in pursuing a career in the hospitality industry and whose experience in their first two years of college demonstrates leadership and strategic and analytical ability. Candidates will be selected to participate in a two-year scholarship and internship at various Carnival Corporation host sites for the summer.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:- Minority sophomore undergraduate student enrolled full-time at a U.S. located, accredited four-year institution or a transfer student from a community college that has been accepted into an accredited four-year college or university  -Community college students should select four-year under the enrollment status within the application- Minimum GPA of 2.75; minimum GPA of 3.0 required for renewal- U.S. citizen or a permanent resident- Majoring in hospitality management and/or administration, tourism, culinary arts, business, finance, communications, marketing or related fieldFor more information or to apply, please visit the scholarship provider's website.",UNCF/Carnival Corporate Scholars Program
0,8333 Greenwood Blvd.,,"Denver, CO 80221",scholarships@collegefund.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/travelers-foundation-scholarship/,"Native American/Alaska Native undergraduate students attending tribal colleges and universities are eligible to apply for both the American Indian College Fund Full Circle Scholarship Program and the American Indian College Fund TCU Scholarship Program.(adsbygoogle = window.adsbygoogle || []).push({});Minimum general eligibility requirements for both scholarships include:-U.S. citizenship-Enrollment in an accredited tribal college or university-Registered as a member of a federal or state recognized tribe, or a descendant of at least one grandparent or parent who is an enrolled tribal member (Alaska Natives may also use Native Corporation membership)-Submission of a completed on-line applicationExtra Eligibility for the Traveler's Foundation Scholarship:-Be a Sophomore, Junior, Senior: preference for Junior or Senior-Minimum 3.0 GPA-Demonstrated financial need-Commitment to community and leadership development-Applicants must be enrolled at a public, private, or tribal college in or near one of the following metropolitan areas OR originally be from in or near one of the listed areas. Specific majors are also required for each metropolitan area. Tribal colleges near each area are noted below:-Must be a resident of or attending school in California, Colorado, Connecticut, Florida, Illinois, Minnesota, or Texas-Majoring in business, accounting, computer science, computer technology, engineering, mathematics, and/or a relatedfieldFor more information or to apply, please visit the scholarship provider's website.",Traveler’s Foundation Scholarship
0,11550 Ash St,Suite 300,"Leawood, KS 66211",scholarship@tortoiseadvisors.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/tortoise-young-entrepreneurs-scholarship-program/,"The Tortoise Young Entrepreneurs Scholarship Program awards three, non-renewable scholarships to permanent residents of Kansas or Missouri who are enrolled or plan to enroll in a full-time undergraduate course of study towards a bachelor's degree, or non-residents of either state who are enrolled/planning to enroll in a four-year bachelor's program at a Kansas or Missouri school. Students must have a minimum 3.3 GPA, minimum ACT score of 24 or minimum SAT score of 1680 to apply. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Tortoise Young Entrepreneurs Scholarship Program
0,"Tag & Label Manufacturers Institute, Inc.",1 Blackburn Center,"Gloucester, MA 01930",office@tlmi.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/tlmi-two-year-degree-scholarship-program/,"This scholarship program is for students enrolled in a flexographic printing program at a two-year college or degree-granting technical school. This grant is targeted at students seeking a career in the flexographic industry. Your school advisor must review your application and submit it to TLMI Headquarters.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Demonstrate interest in entering the tag and label industry-Exhibit proficiency in overall academics and maintain a 3.00 or higher GPA-Provide an official college transcript for all course work completed-Submit a Personal Statement, which should include: information about themselves, financial circumstances, career and/or educational goals, employment experience and reasons why they should be selected for this award-Present a completed application to his/her school advisor for submission to TLMI. Applications will not be accepted directly from a student. (Each learning facility can submit two applications to the TLMI Scholarship Selection Committee.)",TLMI Two-Year Degree Scholarship Program
0,Scholarship Committee,1 Blackburn Center,"Gloucester, MA 01930",office@tlmi.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/tlmi-four-year-college-degree-scholarship-program/,"This scholarship is for qualified full-time college students, entering their third or fourth year of study, who are pursuing a degree to prepare for a career in the tag and label manufacturing industry.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Be a sophomore or junior attending an accredited American college/university on a full-time basis during their junior or senior year-Demonstrate interest in entering the tag and label industry-Major course work should include those courses which are appropriate for the tag and label manufacturing industry, including:-Management-Sales/Marketing-Graphic Arts-Graphic Design-Production-Must exhibit proficiency in overall academics (a minimum of 3.00 GPA)-Possess excellent character, including work ethic, honesty and integrityRelatives of TLMI board members, corporate owners, and CEOs are ineligibleFor more information or to apply, please visit the scholarship provider's website.",TLMI Four-Year College Degree Scholarship Program
