,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,1501 Broadway,Suite 2302,"New York, NY 10036",info@ymafsf.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/yma-fashion-scholarship-fund/,"As fashion's leading educational non-profit, FSF grants the single largest sum of money and total number of scholarships in the entire industry. Annually, we present scholarships from $5,000 to $30,000 to the best and brightest students in both business and design.(adsbygoogle = window.adsbygoogle || []).push({});The YMA FSF regards its scholarship grants as a very worthwhile investment in the future of the fashion industry. We have awarded over $11 million in scholarships to more than 1,700 students nationwide. Eligible students enrolled at a YMA FSF member school can participate in our annual case study competition for a chance to win one of the 200 plus $5,000 scholarships we award each year.Eligibility:-Eligible students must be a current freshman, sophomore, junior or senior. Please note seniors graduating in fall cannot compete for the scholarship-Must have an overall 3.0 GPA or higher-Majors closely aligned to the fashion industry, including, but not limited to advertising, communications, consumer science, apparel design, graphic design, economics, fiber science, finance, information technology, management, marketing, merchandising, retail studies, supply chain management, etc.-Students must have a desire and passion to enter the fashion industryFor more information or to apply, please visit the scholarship provider's website.",YMA Fashion Scholarship Fund
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/wts-portland-chapter-junior-college-and-trade-school-scholarship/,"WTS fosters the development of women in the transportation field by encouraging bright new professionals to undertake careers in the area of transportation. One way it does this is by awarding community, technical, or trade college scholarships to women pursuing transportation- related study at community and trade colleges. This scholarship is intended for students pursuing an associate or technical degree in transportation-related studies.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Open to all women-Must have a GPA of 3.0 or higher-Currently attending a junior college, trade school, college or university in Oregon or Southwest Washington-Currently enrolled in a junior college/trade school program, undergraduate or graduate degree program in a transportation-related field such as transportation engineering, planning, finance, communications, operations, or logistics-Plans to pursue a career in a transportation-related field-Not previously awarded a WTS scholarship at the graduate levelScholarships are competitive and based on the applicant's specific transportation career goals; leadership, especially related to transportation; academic record; transportation-related activities or job skills; writing skills; and letters of recommendation. Minority candidates are encouraged to apply. Portland chapter awards will be presented at the December Winter Gala; attendance at the awards dinner is strongly recommended.For more information or to apply, please visit the scholarship provider's website.",WTS Portland Chapter Junior College and Trade School Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/wts-portland-chapter-gail-achterman-leadership-scholarship/,"The purpose of the Gail Achterman Leadership Scholarship is to motivate and reward women who demonstrate leadership in the transportation industry, ensuring that the essential leadership, skills and perspective of women are included in planning the transportation systems of the future. Leadership does not just happen. Leaders personally invest and risk much. They take on struggles that many would avoid and persevere to reach successful outcomes.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Open to all women-Must have a GPA of 3.0 or higher-Currently enrolled in or accepted to an undergraduate or graduate degree program in a transportation-related field such as transportation engineering, planning, finance, communications, or logistics-Plans to pursue a career in a transportation-related field-Not previously awarded a WTS scholarshipScholarships are competitive and based on the applicant's specific transportation career goals; leadership, especially related to transportation; academic record; transportation-related activities or job skills; writing skills; and letters of recommendation. Minority candidates are encouraged to apply. Portland chapter awards will be presented at the December Winter Gala; attendance at the awards dinner is strongly recommended.For more information or to apply, please visit the scholarship provider's website.",WTS Portland Chapter Gail Achterman Leadership Scholarship
0,3190 SW 66th Ave,Kristia Gladhill,"Portland , OR 97225",gladhillpdx@gmail.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/wts-leadership-legacy-scholarship-for-graduates/,"The Leadership Legacy Scholarship provides a $3,500 award to a young woman pursuing a career in transportation. Eligible candidates are pursuing graduate degrees in transportation or a related field and demonstrate leadership skills and an active commitment to community service. For this year's award, the focus is on women who demonstrate leadership in bringing ideas, innovation and new approaches to transportation challenges in the US and beyond. It includes candidates who have a specific interest in addressing the impact of transportation on sustainability, land use, environmental impact, security and quality of life issues affecting communities around the globe.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Open to women-Must have a GPA of 3.0 or higher-Currently enrolled in or accepted to a graduate degree program in a transportation-related field such as transportation engineering, planning, finance, communications, or logistics-Plans to pursue a career in a transportation-related field-Not previously awarded a WTS scholarshipFor more information or to apply, please visit the scholarship provider's website.",WTS Leadership Legacy Scholarship for Graduates
0,5005 Greenville Ave.,Suite 100A,"Dallas, TX 75206",djohnson@haydenconsultants.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/wts-dallas-fort-worth-chapter-transportation-you-high-school-scholarship/,"WTS fosters the development of women and girls in the transportation field by encouraging bright new professionals and students to undertake careers in the area of transportation. One way it does this is by awarding the Transportation YOU Scholarships to girls pursuing high school studies in science, technology, engineering and math.(adsbygoogle = window.adsbygoogle || []).push({});Transportation YOU is a hands-on, interactive, mentoring program that offers young girls ages 13-18 an introduction to a wide variety of transportation careers. Through the program and this scholarship program, WTS chapters work to make a difference in the lives of young girls by offering programs and activities that will spark their interest in all modes of transportation and encourage them to take courses in math, science and technology, which are the stepping stones to exciting careers that can change the face of the transportation industry.Eligibility:-Open to high school senior girls-Must have a GPA of 3.0 or higher-Currently enrolled in a high school in Texas and Oklahoma studying math, science, and technology-Considering a career in a transportation-related field.-Past Transportation YOU Scholarship winner is not eligible.Applications must be submitted through local WTS chapters. The scholarships are competitive and based on the applicant's specific transportation goals, academic record, and transportation-related activities or job skills. Minority candidates are encouraged to apply. Please contact your local WTS chapter at the address listed below for specifics.See the list of eligible high schools in Texas. Students at other schools in Texas should apply to the Heart of Texas, Houston or San Antonio chapters, depending on eligibility.For more information or to apply, please visit the scholarship provider's website.",WTS Dallas/Fort Worth Chapter Transportation YOU High School Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/wts-beverley-swaim-staley-leadership-legacy-scholarship/,"WTS launched the Leadership Legacy Scholarship in 2007. Through this award, WTS provides support to an outstanding young woman pursuing graduate studies working toward a career in transportation or a related field, and who demonstrates a specific interest in advancing transportation innovation in the international arena.(adsbygoogle = window.adsbygoogle || []).push({});The Leadership Legacy Scholarship currently takes the name of the WTS International Chair, Beverley Swaim Staley. It has a sustainable community and public transit focus with emphasis on candidates who are working to rejoin the workforce after some time away from the industry.Eligibility:-Open to all women-Must have a GPA of 3.0 or higher-Currently attending a junior college, trade school, college or university in Oregon or Southwest Washington-Currently enrolled in a junior college/trade school program, undergraduate or graduate degree program in a transportation-related field such as transportation engineering, planning, finance, communications, operations, or logistics-Plans to pursue a career in a transportation-related field-Not previously awarded a WTS scholarship at the graduate levelScholarships are competitive and based on the applicant's specific transportation career goals; leadership, especially related to transportation; academic record; transportation-related activities or job skills; writing skills; and letters of recommendation. Minority candidates are encouraged to apply. Portland chapter awards will be presented at the December Winter Gala; attendance at the awards dinner is strongly recommended.For more information or to apply, please visit the scholarship provider's website.",WTS Beverley Swaim Staley Leadership Legacy Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/wts-atlanta-chapter-transportation-scholarship/,"WTS Atlanta awards scholarships to deserving women throughout the transportation industry, supporting the next generation of transportation professionals and advancing the principles of WTS, and has created educational and awareness programs like Transportation YOU. In order to apply for the WTS Atlanta Chapter Transportation Scholarship, you must have a minimum 3.0 GPA, and be currently enrolled in a transportation-related field, such as transportation engineering, planning, finance, or logistics at a college or university that is located within the state of Georgia. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",WTS Atlanta Chapter Transportation Scholarship
0,P.O. Box 68960,,"Indianapolis, IN 46268",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/wilson-w-carnes-scholarship/,"Given in recognition of Mr. Wilson Carnes, retired editor of FFA New Horizons magazine, by his friends and co-workers to encourage FFA members to pursue an agricultural magazine publishing career. Must be a high school senior pursuing a two- or four-year degree in any area of agriculture. Approximately two scholarships at $1,000 each. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Wilson W. Carnes Scholarship
0,5005 Greenville Ave,Suite 100A,"Dallas, TX 75206",djohnson@haydenconsultants.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/wanda-j-schafer-graduate-scholarship/,"The Wanda Schafer Graduate Scholarship was established in 2002 by the Dallas/Fort Worth Chapter of the Women's Transportation Seminar (WTS). The scholarship is designed to encourage women to pursue career paths in transportation. The scholarship is awarded to women pursuing graduate studies in transportation or a related field.(adsbygoogle = window.adsbygoogle || []).push({});As a tribute to Ms. Wanda Schafer, the first president of the DFW Chapter of WTS, the Board of Directors voted to name the annual WTS graduate scholarship, the Wanda J. Schafer Graduate Scholarship, to honor Wanda for her dedicated service to WTS. Wanda became a WTS member and chapter president in 1989. She brought with her 20 years of experience in public service, tremendous organizational abilities, and a spirit of determination that helped WTS nearly double its membership in two years.Eligibility:-Open to women-Must have a GPA of 3.0 or higher-Currently enrolled in a graduate degree program in a transportation-related field, such as transportation engineering, planning, finance, or logistics in certain universities in Texas and Oklahoma-Plans to pursue a career in a transportation-related field-Past Wanda J. Schafer Scholarship winner is not eligible-First-semester students must contact the scholarship chair in advance for requirements related to official transcriptsFor more information or to apply, please visit the scholarship provider's website.",Wanda J. Schafer Graduate Scholarship
0,1401 Flower St.,MC 9030,"Glendale , CA 91221",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/walt-disney-imaginations-design-competition-project-challenge/,"All qualified participants will be considered for paid internship opportunities at Imagineering and other Walt Disney Company business units. The final number of offered internships will be based on project needs.Teams must consist of at least two and no more than four participants. Applicants must be students at least 18 years of age with junior, senior or equivalent standing or full-time graduate student in a college or university in the United States and currently enrolled in one of the disciplines listed below as evidenced by proof of enrollment or a graduate from a college in the United States who is a resident (permanent or temporary) of the United States for the duration of the competition and graduated no earlier than May in one of the disciplines listed as evidenced by proof of enrollment. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Walt Disney Imaginations Design Competition Project Challenge
