,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/wwdc-scholarship/,"Apple's renowned developer community will come together at WWDC to learn about the future of iOS and OS X. To be considered for a WWDC Scholarship, create an app that showcases your creativity and skills. Use your creativity and coding skills to build an app that tells us about you. Your app should highlight development projects you've worked on, your educational and professional background, technical skills, and interests.(adsbygoogle = window.adsbygoogle || []).push({});App Requirements:-Create a Mac or iOS app that highlights your accomplishments and interests-Write your app with Objective-C and Swift, or entirely with Swift, using Xcode 6.3 from the Mac App Store-Use your first and last name as the app name-Your app must build without errors-All app content must be in EnglishSubmission Requirements:-Upload three screenshots of your app as .png files (20 MB max per file).-Package your Xcode project in a .zip file (100 MB max). Make sure to include all of the files that your Xcode project needs.Eligibility Requirements:-Must be 18 years of age or older and registered for free as an Apple developer, or you must have permission to be sharing a Registered Apple Developer account with your parent or guardian if you are between the ages of 13 and 17.-Must be enrolled part-time or full-time in a course of study, or be a member or alumni of one of the acceptable STEM organizations; the list can be found at the organization's website.Eligibility is subject to verification by Apple and you agree to cooperate with Apple to provide information about your educational status and membership status. Employees of Apple Inc., their affiliates, subsidiaries, advertising and promotion agencies, and their immediate family members and/or those living in same household of each are not eligible.For more details and to apply, please visit the scholarship provider's website.",WWDC Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/woodrow-wilson-teaching-fellowship/,"The Woodrow Wilson Teaching Fellowship program recruits and trains the nation's best and brightest recent graduates and career changers with STEM backgrounds to teach in high-needs middle and high school science and math classrooms.(adsbygoogle = window.adsbygoogle || []).push({});The Teaching Fellowship includes:- admission to a master's degree program at a well-established partner university- teacher certification in science, mathematics or technology education- extensive preparation for teaching in a high-need urban or rural secondary school for one full year prior to becoming the teacher-of-record in a science or math classroom- a $30,000 stipend (Once Fellows are certified teachers at the end of the first year, they obtain salaried employment in high-need schools.)- support and mentoring throughout the three-year teaching commitment- support of a cohort of WW Fellows passionate about science and math education- lifelong membership in a national network of Woodrow Wilson Fellows who are intellectual leadersThe Fellowship is open to college seniors, graduates, and career changers who:- have majored in and/or have a strong professional background in a STEM field (science, technology, engineering, or math);- demonstrate a commitment to the program and its goals;-  have U.S. citizenship or permanent residency;-  have attained, or expect to attain by June 30, this upcoming year, a bachelor's degree from an accredited U.S. college or university or its international equivalent (Note: Undergraduate degrees earned outside the U.S. are accepted if an approved credential evaluator declares the degree equivalent to an earned U.S. bachelor’s degree.);- a cumulative undergraduate grade point average (GPA) of 3.0 or better on a 4.0 scale is preferred (Note: Candidates who can demonstrate excellence through other avenues will also be considered. All applications are considered in their entirety and selection is based on merit.)To learn more and apply, check out our website.",Woodrow Wilson Teaching Fellowship
0,80 Iron Point Circle #100,,"Folsom, CA 95630",WITS@trustvip.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/women-in-technology-scholarship-wits/,"The VIP Women in Technology Scholarship (WITS) program is sponsored by Visionary Integration Professionals (VIP), a leading provider of technology solutions that drive enterprise performance. The WITS program is made available annually to women across the United States. The WITS Program will grant multiple scholarship awards that value up to $2,500.00 per recipient. Applicants must have a minimum 3.0 Cumulative GPA and participate in community service and/or extracurricular activities. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Women in Technology Scholarship (WITS)
0,204 E Street NE,,"Washington, DC 20002",info@womeninaerospacefoundation.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/women-in-aerospace-foundation-scholarship/,"The WIA Foundation is pleased to provide scholarships to women interested in a career in the aerospace field to pursue higher education degrees in engineering, math or science. One or more awards will be given each year to a rising junior or senior in college, to be applied during the upcoming academic year. Applicants must have completed at least 2 ½ academic years of full-time college work at the time of application and be currently enrolled at an accredited college or university. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Women in Aerospace Foundation Scholarship
0,1600 Wilson Boulevard,Suite 801,"Arlington, VA 22209",wifle@comcast.net,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/wifle-scholarship-program/,"WIFLE Foundation, Inc. and Women in Federal Law Enforcement, Inc. (both known as WIFLE) are organizations with a goal to achieve gender equity within federal law enforcement through the recruitment, retention, and promotion of qualified women. WIFLE offers several scholarships to talented individuals to meet the demands in the field of law enforcement and to foster the professional development of those engaged in Law Enforcement.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Physically attend and be a full-time student at an accredited four-year college or university; or be currently enrolled in a full-time in a fully accredited community college with the intention of transferring to a four-year degree-Have completed at least one full academic year of college work at an accredited college or university or community college-Major in criminal justice or related discipline such as social sciences, public administration, computer science, finance, linguistic arts, chemistry, physics, etc., leading to a four-year degree (students in graduate and post-graduate programs are also eligible. Students pursuing associate degrees are not eligible, unless as stated above, fully articulate in the application their intention to transfer to a four-year program)-Have a minimum 3.0 overall GPA-Demonstrate a commitment to the community through a 500-word essay describing their involvement in a community project, and the results or impact of that involvement to the community or if the applicant if currently serving or has served an internship with a law enforcement agency, preferably a federal law enforcement agency, the applicant mustprovide details including the name if the agency, the dates served and describe the value of the experience and the accomplishment through the internship in a 500-word essay-Have at least one community leader or member of a community or police official sponsor their application with a written statement of support-Be a citizen of the United StatesFor more information or to apply, please visit the scholarship provider's website.",WIFLE Scholarship Program
0,751 West Fourth Street,Suite 200,"Winston-Salem, NC 27101-2702",StudentAid@wsfoundation.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/wes-burton-memorial-scholarship/,"The Wes Burton Memorial Scholarship is awarded to worthy graduating high school seniors from Mt. Tabor High School.  Scholarships are to be applied to cost of undergraduate tuition, fees, and room and board at an accredited college or university.(adsbygoogle = window.adsbygoogle || []).push({});To receive consideration, applicants must:-Have a minimum unweighted GPA of 3.5-Demonstrate examples of community and school service-Major in mathematics, computer science, business administration, or engineering in college-Demonstrate financial need, but not restricted to lowest family incomes (student's merit will be considered to a greater degree)For more information or to apply, please visit the scholarship provider's website.",Wes Burton Memorial Scholarship
0,1605 NW Sammamish Rd.,Suite 200,"Issaquah, WA 98027-5388",info@waopportunityscholarship.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/washington-state-opportunity-scholarship/,"The Washington State Opportunity Scholarship (WSOS) supports low- and middle-income students pursuing eligible high-demand majors in science, technology, engineering, math (STEM) or health care and encourages recipients to work in Washington state once they complete their degrees. Students must have a minimum 2.75 GPA and plan to enroll in an eligible Washington state college or university.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",Washington State Opportunity Scholarship
0,"1400 Independence Avenue, SW",,"Washington, DC 20250",1890init@usda.gov,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/usda-1890-national-scholars-program/,"The USDA/1890 National Scholars Program is a partnership between of the United States Department of Agriculture (USDA) and 1890 Historically Black Land-Grant Universities. The program awards scholarships to students attending one of 1890 Historically Black Land-Grant Universities, pursuing a bachelor degree in agriculture, natural resources, food science, nutrition, or related academic disciplines, and willing to work full-time in the USDA upon graduation. Applicants must have a minimum 3.0 GPA and demonstrate leadership and community service. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",USDA 1890 National Scholars Program
0,7178 Columbia Gateway Dr.,,"Columbia, MD 21046",scholarship@usra.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/universities-space-research-association-usra-scholarship-awards/,"The USRA Scholarship Awards provide college scholarship awards to students who have shown a career interest in space science research, aeronautics-related sciences, or space science education. To be considered, applicants must be full-time undergraduate students attending a four-year accredited college or university that offers courses leading to a degree in science or engineering. Applicants must be within two years (juniors and seniors) of earning a bachelor's degree in a field of science or engineering, including science education, by the time the award is received. For a complete list of scholarships offered, more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Universities Space Research Association (USRA) Scholarship Awards
0,8333 Greenwood Blvd.,,"Denver, CO 80221",scholarships@collegefund.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/travelers-foundation-scholarship/,"Native American/Alaska Native undergraduate students attending tribal colleges and universities are eligible to apply for both the American Indian College Fund Full Circle Scholarship Program and the American Indian College Fund TCU Scholarship Program.(adsbygoogle = window.adsbygoogle || []).push({});Minimum general eligibility requirements for both scholarships include:-U.S. citizenship-Enrollment in an accredited tribal college or university-Registered as a member of a federal or state recognized tribe, or a descendant of at least one grandparent or parent who is an enrolled tribal member (Alaska Natives may also use Native Corporation membership)-Submission of a completed on-line applicationExtra Eligibility for the Traveler's Foundation Scholarship:-Be a Sophomore, Junior, Senior: preference for Junior or Senior-Minimum 3.0 GPA-Demonstrated financial need-Commitment to community and leadership development-Applicants must be enrolled at a public, private, or tribal college in or near one of the following metropolitan areas OR originally be from in or near one of the listed areas. Specific majors are also required for each metropolitan area. Tribal colleges near each area are noted below:-Must be a resident of or attending school in California, Colorado, Connecticut, Florida, Illinois, Minnesota, or Texas-Majoring in business, accounting, computer science, computer technology, engineering, mathematics, and/or a relatedfieldFor more information or to apply, please visit the scholarship provider's website.",Traveler’s Foundation Scholarship
0,One Trinity Place,,"San Antonio, TX 78212",creyes1@trinity.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/the-robert-noyce-scholarship/,"The Robert Noyce Scholarship program, authorized under the National Science Foundation Authorization Act, seeks to encourage talented science, technology, engineering, and mathematics (STEM) majors to become elementary, middle, and high school teachers by offering tuition scholarships of $15,000 per year for up to two years. The scholarship will be awarded annually to qualified Trinity seniors and post-baccalaureate candidates in their Master of Arts in Teaching (M.A.T.) year. Noyce Scholars will join Trinity University's teacher preparation program and complete the M.A.T. before entering the teaching profession. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The Robert Noyce Scholarship
0,Attn: Scholarship Committee,"1000 Fifth Ave., Suite 350","Huntington, WV 25701",info@afb.net,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/the-paul-and-ellen-ruckes-scholarship/,"The American Foundation for the Blind removes barriers, creates solutions, and expands possibilities so people with vision loss can achieve their full potential.(adsbygoogle = window.adsbygoogle || []).push({});All applicants must be U.S. citizens or naturalized citizens. All applications must include the following items, without exception:-Completed online application including all sections of the essay-Official transcripts-Two letters of recommendation-Proof of legal blindnessThe Paul and Ellen Ruckes Scholarship provides scholarships to a full-time undergraduate or graduate student in the field of engineering or in computer, physical, or life sciences.For more information or to apply, please visit the scholarship provider's website.",The Paul and Ellen Ruckes Scholarship
