,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,1401 Flower St.,MC 9030,"Glendale , CA 91221",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/walt-disney-imaginations-design-competition-project-challenge/,"All qualified participants will be considered for paid internship opportunities at Imagineering and other Walt Disney Company business units. The final number of offered internships will be based on project needs.Teams must consist of at least two and no more than four participants. Applicants must be students at least 18 years of age with junior, senior or equivalent standing or full-time graduate student in a college or university in the United States and currently enrolled in one of the disciplines listed below as evidenced by proof of enrollment or a graduate from a college in the United States who is a resident (permanent or temporary) of the United States for the duration of the competition and graduated no earlier than May in one of the disciplines listed as evidenced by proof of enrollment. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Walt Disney Imaginations Design Competition Project Challenge
0,500 E. College St,,"Marshall, MO 65340",schmidtc@moval.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/the-virginia-zank-scholarship-for-writing-studies/,"The Virginia Zank Scholarship: Submit a 500-word essay describing your relationship to writing. What do you write? Why do you write? What are your writing goals for college? What are your writing goals after college? How will the Virginia Zank Scholarship help you achieve your goals? Applicants must be incoming English majors with a 21 ACT score or higher (and/or SAT Critical Reading and Math score of 976 or higher); and a 3.0 GPA.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",The Virginia Zank Scholarship for Writing Studies
0,Attn: Scholarship Committee,"1000 Fifth Ave., Suite 350","Huntington, WV 25701",info@afb.net,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/the-r-l-gillette-scholarship/,"The American Foundation for the Blind removes barriers, creates solutions, and expands possibilities so people with vision loss can achieve their full potential.(adsbygoogle = window.adsbygoogle || []).push({});All applicants must be U.S. citizens or naturalized citizens. All applications must include the following items, without exception:-Completed online application including all sections of the essay-Official transcripts-Two letters of recommendation-Proof of legal blindnessThe R.L. Gillette Scholarship offers two scholarships to women who are enrolled in a four-year undergraduate degree program in literature or music. In addition to the general requirements, applicants must submit a performance tape (not to exceed 30 minutes) or a creative writing sample.For more information or to apply, please visit the scholarship provider's website.",The R.L. Gillette Scholarship
0,Missouri Valley College,500 E. College St,"Marshall, MO 65340",schmidtc@moval.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/the-loren-gruber-scholarship-for-literary-studies/,"Missouri Valley College offers two four-year scholarships for incoming English majors with a composite ACT score of 21 or higher (and/or SAT critical reading and math score of 976 or higher) and a high school GPA of 3.0 or higher. Selection of scholarship recipients is based on an essay, test scores, and high school GPA and is contingent on majoring in English.(adsbygoogle = window.adsbygoogle || []).push({});For the scholarship, submit a 500-word essay about your favorite book, blog, poem, play, essay, or film. Explain how this text has influenced your goals for life before, during, and after college. How will the Loren Gruber Scholarship help you achieve your goals?To apply for an MVC scholarship, you must also complete the application for admission and be admitted to the college. Your file will be evaluated and the Admissions Office will notify you of your award in writing. A student is limited to scholarships not to exceed the cost of attendance. It is the student's responsibility to inform the Office of Admissions of increased scholarship eligibility. In most cases, institutional scholarships may not be combined. If a student is eligible for more than one award, the Admissions Office will offer the highest of the awards to the student.For more information or to apply, please visit the scholarship provider's website.",The Loren Gruber Scholarship for Literary Studies
0,600 Wilshire Blvd.,Suite 1520,"Los Angeles, CA 90017",tlfinfo@lagrant.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/the-lagrant-foundation-undergraduate-scholarships/,"LAGRANT Foundation Undergraduate Scholarship recipients will receive a trip to New York or San Francisco where they will participate in career building activities including a welcome dinner with a keynote speaker, two daylong career & professional development workshops and a scholarship and donor recognition reception. Applicants must be from a minority ethnic group, studying a field of study that has an emphasis on advertising, marketing or public relations. A minimum 3.0 GPA is required. The winner must also make a one-year commitment to maintain contact with TLF to receive professional guidance and academic support. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The LAGRANT Foundation Undergraduate Scholarships
0,P.O. Box 108850,,"Oklahoma City, OK 73101-8850",studentinfo@osrhe.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/oklahoma-future-teachers-scholarship-program/,"The Future Teachers Scholarship Program was established by the Oklahoma State Regents for Higher Education as an incentive to encourage the preparation of teachers in critical shortage areas in the public schools of Oklahoma.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-The student must be a resident of Oklahoma-The student must be nominated by the college in which they are enrolled on the basis of: cumulative high school GPA ranking in the top 15% of his or her high school graduating class; ACT or SAT score ranking in the top 15% for high school graduates of the same year; admission to a professional education program at an accredited Oklahoma institution of higher education; an undergraduate record of outstanding success, as defined by the institution-Full-time and part-time students are eligible for the scholarship; however, highest priority will be given to full-time students-Scholarship recipients must maintain no less than a 2.5 cumulative GPA-Each recipient must agree to teach in a shortage area in Oklahoma public schools for a minimum of three consecutive years upon graduation and licensure as a teacher-Recipients may receive the scholarship for not more than four years, or the equivalent of four years, of full-time studyFor more information or to apply, please visit the scholarship provider's website.",Oklahoma Future Teachers Scholarship Program
0,413 N. Webster,,"Red Cloud, NE 68970",wcpm@gpcom.net,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/norma-ross-walter-scholarship/,"The purpose of the Norma Ross Walter Scholarship is to provide financial assistance to female graduates of Nebraska high schools who plan to enroll as English majors in accredited colleges or universities. Journalism is not included.(adsbygoogle = window.adsbygoogle || []).push({});Applicants must be female high school seniors, who plan to continue their educations as English majors in accredited colleges or universities. Selection is based on intellectual promise, creativity, and character of the applicant.Please write an approximately 1,500-word essay of your own choosing on several of Cather's short stories (3) or on one of Cather's novels. You may comment on what impresses you in the work(s) such as various scenes, characters, theme, style, language, or the like. It is also permissible to use a previous essay you might have written on Cather and one that you can adapt to the guidelines.For more information or to apply, please visit the scholarship provider's website.",Norma Ross Walter Scholarship
0,355 Lexington Avenue,15th Floor,"New York, NY 10017",agiannacopoulos@kellencompany.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/new-york-women-in-communications-inc-foundation-scholarship-program/,"The New York Women in Communications Foundation, in conjunction with New York Women in Communications, awards scholarships annually based on academic excellence, need and involvement in the field of communications.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-High school seniors who are permanent residents of NY, NJ, CT or PA, attend a high school in one of these states, and will graduate this spring-College undergraduate students who are permanent residents of NY, NJ, CT or PA-Graduate students who are permanent residents of NY, NJ, CT or PA-Must be majoring in or (for high school seniors) declaring a major in a communications-related field, including but not limited to advertising, broadcasting, communications, English, film, journalism, marketing, new media, or public relations-Applicants are eligible even if they attend or plan to attend a college or university located outside of NY, NJ, CT, or PA as long as their permanent residence is in one of those states-Applicants must have a GPA of 3.2 or betterFor more information or to apply, please visit the scholarship provider's website.",New York Women in Communications Inc. Foundation Scholarship Program
0,P.O. Box 60052,,"Shoreline, WA 98160-0052",nmcarman@aol.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/nellie-martin-carman-scholarship-fund/,"The Nellie Martin Carman Scholarship is available to graduating seniors from public high schools in King, Pierce, and Snohomish counties in Washington state. Application forms are only available through these high schools and candidates for the scholarship are nominated by their school each year. Scholarships are renewable for four years of college in the state of Washington. Music, sculpture, drawing, interior decorating or domestic science are not accepted as major subject courses. For more information and to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Nellie Martin Carman Scholarship Fund
0,7051 Hollywood Blvd,,"Los Angeles, CA 90028",contests@authorservicesinc.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/l-ron-hubbard-writers-of-the-future-contest/,"The L. Ron Hubbard Writers of The Future Contest is an ongoing merit competition for new and amateur aspiring writers. Run on a quarterly basis, an eligible entry is any previously unpublished short story or novelette (under 17,000 words) of science fiction or fantasy. There will be three cash prizes in each quarter: a first place prize of $1,000, a second place prize of $750, and a third place prize of $500. In addition, at the end of the year, the winners will have their entries re-judged, and a grand prize winner shall be determined and receive an additional $5,000. All types of science fiction, fantasy, and dark fantasy are welcome. For more information or to apply, please visit the provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",L. Ron Hubbard Writers of The Future Contest
