,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,1359 Broadway,Suite 2000,"New York, NY 10018",chavie.brumer@claimscon.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/the-saul-kagan-fellowship-in-advanced-shoah-studies/,"The Kagan Fellowship in Advanced Shoah Studies welcomes applications from Ph.D. and post-doc candidates from around the world for funding for the September through the following August academic year.(adsbygoogle = window.adsbygoogle || []).push({});Ph.D. Requirements:-Be enrolled and good standing in a Ph.D. program that supports the study of the Holocaust-Study/have studies a language of Eastern Europe or the former Soviet Union necessary for the research of Holocaust-related documents, or if the field of study will be focused on a particular country or region, to study (or have already studied) the relevant languages of that region-Attend and present their research at an annual Kagan Fellowship summer week-long conference. There is no residency requirement other than the summer conference-Must commit to full-time employment primarily in Holocaust Studies on an academic level for a minimum of five years after receiving a Ph.D.Post-Doctoral Requirements:-Be enrolled and in good standing in a post-doctoral program that is focused on or supports the study of the Holocaust.-Be able to focus on the research without external commitments, such as employment.  Those teaching a course as part of their post-doc requirement may applyCandidates should have received their Ph.D. within the last five years and be connected to a university or research institution-Commit to full-time employment primarily in Holocaust Studies on an academic level for a minimum of five years after completing the post-doctorate-Attend and present their research at an annual summer week-long conference. There is no residency requirement other than the summer conferenceFor more information or to apply, please visit the scholarship provider's website.",The Saul Kagan Fellowship in Advanced Shoah Studies
0,1776 D Street NW,,"Washington, DC 20006",LBFindleyHistoryScholarship@NSDAR.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/the-lucinda-beneventi-findley-history-scholarship/,"A one-time $2,000 scholarship awarded to two (2) graduating high school seniors that have demonstrated a strong interest in history and are planning to major in or pursue the study of history in a full-time accredited college or university in the United States. The applicant must have a 3.25 GPA.(adsbygoogle = window.adsbygoogle || []).push({});All applicants must be citizens of the United States and must attend or plan to attend an accredited college or university in the United States. DAR chapter sponsorship is not required; however, a chapter or state chairman may work with the applicant to put the information together to send to the DAR Scholarship Committee.For more information or to apply, please visit the scholarship provider's website.",The Lucinda Beneventi Findley History Scholarship
0,Box 1894,Brown University,"Providence , RI 02912",jcb-fellowships@brown.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/the-jcb-fellowship-program/,"The John Carter Brown Library Fellowship Program offers graduate students and scholars of the early Americas from the U.S. and abroad an opportunity to pursue their work in proximity to a distinguished collection of primary sources. Approximately forty fellowships are awarded annually for periods of two to ten months. Fellowships are available to advanced graduate students, scholars, and independent researchers, the main criteria for awards being the merit and significance of the proposal, the qualifications of the candidate, and the relevance of the Library's holdings to the proposed research project. The John Carter Brown Library offers both long and short-term fellowships, all of which can be found on the main website. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The JCB Fellowship Program
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/the-ihs-phd-scholarship/,"The new PhD Scholarship from the Institute for Humane Studies awards scholarships to promising students each year who are interested in developing, teaching, and applying the principles of a free society. The PhD Scholarship is open to full-time graduate students enrolled in PhD programs during the upcoming academic year. Applicants must demonstrate research interest in the area of individual and economic freedom and its impact on societies and culture as well as a strong overall academic record.(adsbygoogle = window.adsbygoogle || []).push({});Additional benefits:-Gain access to a vast network of over 1,400 liberty-advancing scholars and a mentoring program that connects you with freedom-minded faculty who share your research goals-Receive exclusive invitations to attend workshops and academic receptions to help you improve your research, gain valuable feedback, navigate graduate school and further your academic career-Become eligible to apply for the renewable IHS Humane Studies Fellowship in subsequent yearsFor more information or to apply, please visit the scholarship provider's website.",The IHS PhD Scholarship
0,"1516 Peachtree St., NW",,"Atlanta, GA 30309-2908",kryan@georgiatrust.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/the-b-phinizy-spalding-and-hubert-b-spalding-scholarships/,"The Georgia Trust annually awards two scholarships to encourage the study of historic preservation and related fields. Students currently enrolled in their first year of school in Georgia may apply. Applicants also must plan to enroll full-time during the current or upcoming semesters at a Georgia school. Students applying for the scholarship are encouraged to plan to stay and work in Georgia following graduation. Students majoring in historic preservation or related fields such as archaeology, architecture, history, and planning are eligible. Stipends are given for the current or following academic year and divided over three quarters or two semesters. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The B. Phinizy Spalding & Hubert B. Spalding Scholarships
0,805 Kidder Breese Street SE,,"Washington Navy Yard, DC 20374-5060",edward.marolda@navy.mil,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/samuel-eliot-morison-naval-history-scholarship/,"The Director of Naval History (N09BH) has established the Samuel Eliot Morison Naval History Scholarship Program to promote development of a broad understanding of naval history within the American national experience. This historical knowledge is an invaluable tool for the decision making process.(adsbygoogle = window.adsbygoogle || []).push({});The scholarship was named in honor of the late Rear Admiral Samuel Eliot Morison, USNR, an eminent naval and maritime historian and Pulitzer Prize winning author.This scholarship provides a $5,000 cash award to a selected, active duty commissioned officer of the U.S. Navy or U.S. Marine Corps with demonstrated leadership potential and high academic qualifications who is already pursuing graduate study in history, international relations, or a related field. The award will help pay for expenses related to research, travel, and the purchase of books or other educational materials.Commissioned officers desiring to compete for the Morison Scholarship to be awarded for study beginning in the coming fall should submit a letter of application via their commanding officer to the Senior Historian, Naval Historical Center, 805 Kidder Breese SE, Washington Navy Yard, D.C. 20374-5060.Applications must be received no later than April 30th and include the following information:- University presently attending or to which application has been made and the current status of that application- Copy of officer biography- A statement from the applicant that includes an outline of the proposed education program, degree objective, major of study- A copy of all official college/university transcripts- A statement not to exceed 500 words concerning the relationship of the Morison Scholarship to the applicant's interests and the value to be derived both by the individual and the Navy Department- Commanding officer's endorsementThe Director of Naval History will make the final selection of the Morison Scholar and an alternate by June. Selection of finalists will be based on the following criteria:Relevance of the chosen area of study to U.S. naval history- Demonstrated professional performance with particular emphasis on the officer's specialty- Academic ability including baccalaureate record- The career needs of the officer- Potential for professional growth",Samuel Eliot Morison Naval History Scholarship
0,3108 Columbia Pike,Suite 300,"Arlington, VA 22204",awards@ngsgenealogy.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/runbincam-youth-award/,"The Rubincam Youth Award was established in 1986 to honor Milton Rubincam for his many years of service to the National Genealogical Society and to the field of genealogy. These awards encourage and recognize our youth as the next generation of family historians.(adsbygoogle = window.adsbygoogle || []).push({});The awards may be given annually to a student in either one or two age categories for an appropriately prepared genealogy. Up to two honorable mentions (runners-up) may also be named in each category. The awards are announced and presented at the annual NGS Banquet at the annual NGS Family History Conference. If the winners are not present, award presentations may be made at another agreed-upon time.Senior:High school students in grades 10–12 or between the ages of 16–18. The award winner receives a $500 cash prize, a plaque, and a one-year NGS membership. Presentation details of the winning submission may appear in NGS MagazineJunior:Middle school students in grades 7–9 or between the ages of 13–15 years. The award winner receives a $250 cash prize, a plaque, and a one-year NGS membership. Presentation details of the winning submission may appear in NGS Magazine.General Eligibility:-Young persons worldwide are eligible to apply-NGS membership is not required-Students must apply under the appropriate age/grade awardFor more details and to apply, please visit the scholarship provider's website.",Runbincam Youth Award
0,Franklin D. Roosevelt Library,511 Albany Post Road,"Hyde Park, NY 12538",library@roosevelt.nara.gov,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/roosevelt-archival-internships/,"The Franklin D. Roosevelt Library and the Franklin and Eleanor Roosevelt Institute (FERI) offer Roosevelt Archival Internships to college and graduate level students. Preference may be given to students majoring in history, political science, archival, library, or computer/information science. Research skills, basic computer skills, familiarity with the Internet, and knowledge of Windows, Word Perfect, and Access database software are particularly valuable. Some familiarity with the history of the Franklin D. Roosevelt presidency (1933-1945) is helpful.(adsbygoogle = window.adsbygoogle || []).push({});Roosevelt interns work at the FDR Library as part of a team of other interns and staff professionals to organize and automate archival materials, make indices, finding aids, and databases, digitize documents and photographs, and assist with other archival and museum projects. The work schedule is Monday-Friday, 9:00-5:00 PM.Internships can last six or seven weeks, and must take place during the summer break (mid-May through the end of August). The FDR Library is in Hyde Park, New York, a rural/suburban town 80 miles north of New York City. There may be an opportunity for one or two interns to work on the New Deal Network Web site project in New York City.Interns receive a stipend of $1,200-1,400 ($200 per week). The internships are funded by the William R. Emerson Archival Internship Fund and by the FDRL/FERI Roosevelt Internship Program, both of which are managed by FERI.For more information or to apply, please visit the scholarship provider's website.",Roosevelt Archival Internships
0,1818 N Street NW,Suite 500,"Washinton, DC 20036",info@nsfgradfellows.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/nsf-graduate-research-fellowship-program/,"The National Science Foundation's Graduate Research Fellowship Program helps ensure the vitality of the human resource base of science and engineering in the United States and reinforces its diversity. The prestigious program recognizes and supports outstanding graduate students in NSF-supported science, technology, engineering, and mathematics (STEM) disciplines who are pursuing research-based masters and doctoral degrees in the U.S. and abroad.(adsbygoogle = window.adsbygoogle || []).push({});NSF Fellows are expected to become knowledge experts who can contribute significantly to research, teaching, and innovations in science and engineering. These individuals will be crucial to maintaining and advancing the nation's technological infrastructure and national security as well as contributing to the economic well-being of society at large. So that the nation can build fully upon the strength and creativity of a diverse society, the Foundation welcomes applications from all qualified individuals and strongly encourages women, minorities, and persons with disabilities to compete fully in this program.Deadlines vary by field(s) of study.For more information or to apply, please visit the scholarship provider's website.",NSF Graduate Research Fellowship Program
0,P.O. Box 60052,,"Shoreline, WA 98160-0052",nmcarman@aol.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/nellie-martin-carman-scholarship-fund/,"The Nellie Martin Carman Scholarship is available to graduating seniors from public high schools in King, Pierce, and Snohomish counties in Washington state. Application forms are only available through these high schools and candidates for the scholarship are nominated by their school each year. Scholarships are renewable for four years of college in the state of Washington. Music, sculpture, drawing, interior decorating or domestic science are not accepted as major subject courses. For more information and to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Nellie Martin Carman Scholarship Fund
