,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/woodrow-wilson-teaching-fellowship/,"The Woodrow Wilson Teaching Fellowship program recruits and trains the nation's best and brightest recent graduates and career changers with STEM backgrounds to teach in high-needs middle and high school science and math classrooms.(adsbygoogle = window.adsbygoogle || []).push({});The Teaching Fellowship includes:- admission to a master's degree program at a well-established partner university- teacher certification in science, mathematics or technology education- extensive preparation for teaching in a high-need urban or rural secondary school for one full year prior to becoming the teacher-of-record in a science or math classroom- a $30,000 stipend (Once Fellows are certified teachers at the end of the first year, they obtain salaried employment in high-need schools.)- support and mentoring throughout the three-year teaching commitment- support of a cohort of WW Fellows passionate about science and math education- lifelong membership in a national network of Woodrow Wilson Fellows who are intellectual leadersThe Fellowship is open to college seniors, graduates, and career changers who:- have majored in and/or have a strong professional background in a STEM field (science, technology, engineering, or math);- demonstrate a commitment to the program and its goals;-  have U.S. citizenship or permanent residency;-  have attained, or expect to attain by June 30, this upcoming year, a bachelor's degree from an accredited U.S. college or university or its international equivalent (Note: Undergraduate degrees earned outside the U.S. are accepted if an approved credential evaluator declares the degree equivalent to an earned U.S. bachelor’s degree.);- a cumulative undergraduate grade point average (GPA) of 3.0 or better on a 4.0 scale is preferred (Note: Candidates who can demonstrate excellence through other avenues will also be considered. All applications are considered in their entirety and selection is based on merit.)To learn more and apply, check out our website.",Woodrow Wilson Teaching Fellowship
0,204 E Street NE,,"Washington, DC 20002",info@womeninaerospacefoundation.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/women-in-aerospace-foundation-scholarship/,"The WIA Foundation is pleased to provide scholarships to women interested in a career in the aerospace field to pursue higher education degrees in engineering, math or science. One or more awards will be given each year to a rising junior or senior in college, to be applied during the upcoming academic year. Applicants must have completed at least 2 ½ academic years of full-time college work at the time of application and be currently enrolled at an accredited college or university. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Women in Aerospace Foundation Scholarship
0,600 Madison Ave,16th Floor,"New York, NY 10022-1615",info@churchillscholarship.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/winston-churchill-foundation-of-the-usa-scholarship-program/,"The prestigious Churchill Scholarship was set up at the request of Sir Winston Churchill in order to fulfill his vision of US-UK scientific exchange with the goal of advancing science and technology on both sides of the Atlantic, helping to ensure our future prosperity and security. An applicant for the Churchill Scholarship must be a citizen of the United States, either native born or naturalized, and must be a senior who is enrolled in one of the institutions participating in the scholarship program or a student who has graduated from one of those institutions within the past 12 months. Upon taking up the Churchill Scholarship, a Churchill Scholar must hold a bachelor's degree or an equivalent, and may not have attained a doctorate. Applicants should be able to show proven talent in research and a capacity to contribute to the advancement of knowledge in the sciences, engineering, or mathematics by pursuing original, creative work at an advanced level as demonstrated by awards, prizes, research, and letters of recommendation. Applicants in the sciences and engineering will demonstrate extensive laboratory experience, internships, or other related work, while applicants in mathematics will show substantial independent work or other projects. The Foundation does not require a minimum GPA, but recent Churchill Scholars have had a GPA of at least 3.7 and usually have 3.9 or above. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Winston Churchill Foundation of the USA Scholarship Program
0,360 Woods Hole Road,,"Woods Hole, MA 02543",education@whoi.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/whoi-summer-student-fellowship-program/,"Summer Student Fellowships at the Woods Hole Oceanographic Institution are awarded to undergraduate students who have completed their junior or senior year at colleges or universities and are studying in any of the fields of science or engineering including but not limited to the fields of biology, chemistry, engineering, geology, geophysics, mathematics, meteorology, physics, oceanography, and marine policy. Students must have at least a tentative interest in the ocean sciences, oceanographic engineering, mathematics, or marine policy. Persons from underrepresented groups are encouraged to apply.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",WHOI Summer Student Fellowship Program
0,1605 NW Sammamish Rd.,Suite 200,"Issaquah, WA 98027-5388",info@waopportunityscholarship.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/washington-state-opportunity-scholarship/,"The Washington State Opportunity Scholarship (WSOS) supports low- and middle-income students pursuing eligible high-demand majors in science, technology, engineering, math (STEM) or health care and encourages recipients to work in Washington state once they complete their degrees. Students must have a minimum 2.75 GPA and plan to enroll in an eligible Washington state college or university.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",Washington State Opportunity Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/uw-stout-polytechnic-scholarship/,"Students are eligible for The Polytechnic Scholarship if they rank in the top 25% of their graduating class (3.5 GPA if your high school does not rank) and have a 24 or greater composite ACT score. Students must be enrolled freshmen year with a minimum of 12 credits (does not include advanced placement or transfer credits). Students are awarded a non-renewable scholarship. Students must be admitted by the first Monday in February and updated credentials must be received by the deadline. The scholarship is awarded upon acceptance into the program, there is no application form.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",UW Stout Polytechnic Scholarship
0,7178 Columbia Gateway Dr.,,"Columbia, MD 21046",scholarship@usra.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/universities-space-research-association-usra-scholarship-awards/,"The USRA Scholarship Awards provide college scholarship awards to students who have shown a career interest in space science research, aeronautics-related sciences, or space science education. To be considered, applicants must be full-time undergraduate students attending a four-year accredited college or university that offers courses leading to a degree in science or engineering. Applicants must be within two years (juniors and seniors) of earning a bachelor's degree in a field of science or engineering, including science education, by the time the award is received. For a complete list of scholarships offered, more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Universities Space Research Association (USRA) Scholarship Awards
0,3925 W Braker Ln,Suite 200,"Austin, TX 78759",scholarships@tsgc.utexas.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/tsgc-columbia-crew-memorial-scholarships/,"Texas Space Grant Consortium and the Aviation and Space Foundation of Texas in partnership with the National Aeronautics and Space Administration  have established this scholarship program in memory of the Space Shuttle Columbia astronauts. These seven men and women paid the ultimate sacrifice to expand the exploration of space and our knowledge of the world that we live in.(adsbygoogle = window.adsbygoogle || []).push({});These scholarships are intended to recognize high-quality students and encourage their consideration of graduate studies in science, technology, engineering and mathematics fields which will ultimately lead to careers in space-related fields. The scholarships stress excellence in academics, participation in space education projects, participation in research projects and exhibited leadership qualities. Applicants must be citizens of the United States, registered as a full-time student at a TSGC member institution in good standing and also be a sophomore at a two-year institution, a junior or senior at a four-year institution or a first- or second-year student at a medical school. For more information or to apply, please visit the scholarship provider's website.",TSGC Columbia Crew Memorial Scholarships
0,8645 Founders Rd,,"Indianapolis, IN 46268-1393",tash@tkefoundation.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/tke-francis-j-flynn-memorial-scholarship/,"Frank J. Flynn was initiated a Teke at Theta-Sigma Chapter at St. John’s University in 1968, where he was a professor of mathematics. He served as Faculty Advisor, Chapter Advisor, and as the first District President (now Grand Province Advisor) for the Liberty District. He was a Grand Prytanis Key Leader Award recipient in 1975. Frater Flynn entered the Chapter Eternal in 1987, while in his second term on the Board of Directors of the TKE Educational Foundation. His wife, Mary, a staunch supporter of TKE, continued to fund the scholarship until her death.(adsbygoogle = window.adsbygoogle || []).push({});All of the TKE Educational Foundation leadership and scholarship awards are for the benefit of active members of Tau Kappa Epsilon Fraternity.This scholarship is awarded in recognition of academic achievement with a Grade Point Average of at least 2.75 or higher and recognizes outstanding leadership within the chapter. The applicant must be pursuing an undergraduate degree in mathematics or education. Preference will first be given to a member of Theta-Sigma Chapter, but if there is no qualified applicant, the scholarship will be open to any other qualified Teke.",TKE Francis J. Flynn Memorial Scholarship
0,216 West Jackson Blvd.,Suite 700,"Chicago, IL 60606",jvsscholarship@jvschicago.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/the-jewish-federation-of-metropolitan-chicago-academic-scholarship/,"Educational scholarship funds from grants administered by the Jewish Federation of Metropolitan Chicago are available for Jewish college and graduate students. Approximately $500,000 is available each year for full-time students, predominantly those legally domiciled in the metropolitan Chicago area, who are identified as having promise for significant contributions in their chosen careers. Assistance is available primarily for those with financial need who are pursuing careers in the helping professions.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Must be Jewish-Must have been born and raised in Chicago metropolitan area, including Lake County, Indiana; or one continuous year of full-time employment in the Chicago metro area prior to enrollment-Intend to remain in the Chicago metropolitan area after completing school-Are entering an accredited graduate program in a helping profession on a full-time basis for the full academic year-Are entering your junior or senior years of an accredited bachelor's degree program in a helping profession on a full-time basis for the full academic year-Demonstrate financial need-Demonstrate career promise-Are available for an in-person interview between March 1 and April 20For more information or to apply, please visit the scholarship provider's website.",The Jewish Federation of Metropolitan Chicago Academic Scholarship
