,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,1120 Rt 73,Suite 200,"Mt. Laurel, NJ 08054",wocn_info@wocn.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships/wocn-society-accredited-scholarship/,"WOCN Society Accredited Nursing Education Scholarships are awarded to deserving individuals committed to working within the wound, ostomy and continence nursing specialty. Applicants agree to support the WOCN Society philosophy and scope of practice.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Seeking education in wound, ostomy and continence nursing care-Proof of one of the following: Acceptance to a WOCN-accredited Wound, Ostomy and Continence Nursing Education Program (WOCNEP) or Specialty Course-Current enrollment in a WOCN-accredited WOCNEP or Specialty Course-Certificate of completion from a WOCN-accredited WOCNEP or Specialty Course, within three months of graduation-Complete application-Three satisfactory letters of recommendation from professional associates who have known the applicant for at least one year (one from current employer is preferred)-Has not been awarded an educational scholarship from the WOCN Foundation in the past three yearsWhen your documents are received, your application will be submitted for review.",WOCN Society Accredited Scholarship
0,100 S Main Ave.,Suite 202,"Sidney, OH 45365",info@commfoun.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships/william-b-and-bonnie-z-swonger-nursing-scholarship/,"To be eligible for the William & Bonnie Swonger Nursing Scholarship, the applicant must be a Shelby County (Ohio) resident who is a graduate of (or is about to graduate from) any high school within Shelby County (Ohio) and is pursuing a Registered Nursing degree. Eligible students may apply during any year of their education; however, licensed RNs are not eligible for continuing education.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",William B. & Bonnie Z. Swonger Nursing Scholarship
0,1605 NW Sammamish Rd.,Suite 200,"Issaquah, WA 98027-5388",info@waopportunityscholarship.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships/washington-state-opportunity-scholarship/,"The Washington State Opportunity Scholarship (WSOS) supports low- and middle-income students pursuing eligible high-demand majors in science, technology, engineering, math (STEM) or health care and encourages recipients to work in Washington state once they complete their degrees. Students must have a minimum 2.75 GPA and plan to enroll in an eligible Washington state college or university.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",Washington State Opportunity Scholarship
0,Washington Student Achievement Council,917 Lakeridge Way SW,"Olympia, WA 98502",health@wsac.wa.gov,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships/washington-federal-state-loan-repayment-program-fslrp/,"The Health Professional Loan Repayment Program encourages licensed primary care health professionals to serve in Washington's critical shortage areas. The program provides financial assistance through either conditional scholarships or loan repayment. The loan repayment portion of the program provides educational repayment assistance to licensed primary care health professionals. Applicants agree to provide primary care health care in rural or underserved urban areas with designated shortages. The Federal-State Loan Repayment Program (FSLRP) requires a two-year contract. Awardees must work a minimum of 40 hours per week.(adsbygoogle = window.adsbygoogle || []).push({});Eligible providers: MD, DO, Physician Assistant, Nurse Practitioner, Registered Nurse, Pharmacist, Registered Dental Hygienist, Certified Nurse Midwife, DDS, or DMD.For more information or to apply, please visit the scholarship provider's website.",Washington Federal-State Loan Repayment Program (FSLRP)
0,751 West Fourth Street,Suite 200,"Winston-Salem, NC 27101-2702",studentaid@wsfoundation.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships/virginia-elizabeth-and-alma-vane-taylor-student-nurse-fund/,"This scholarship will provide awards for North Carolina residents seeking associate or baccalaureate nursing degrees. Preference will be given to students seeking first-time nursing degrees. Consideration may also be given to graduate nursing degrees on a limited basis depending on available funding. Preference will be given to residents of Davidson, Davie, Forsyth, Stokes, Surry, Wilkes, and Yadkin counties.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Be enrolled in an associate, baccalaureate, or graduate nursing degree program (preference will be given to students seeking first-time degrees)-Be accepted in an accredited North Carolina school of nursing program-Have a high school/college cumulative GPA of at least 2.5 for all healthcare programs-Be North Carolina residents (preference will be given to students living in Davidson, Davie, Forsyth, Stokes, Surry, Wilkes, and Yadkin counties)-Demonstrate financial need (not restricted to lower incomes)For more information or to apply, please visit the scholarship provider's website.",Virginia Elizabeth & Alma Vane Taylor Student Nurse Fund
0,1201 Locust Avenue,,"Fairmont , WV 26554",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships/vincent-and-catherine-sansalone-scholarship/,"The Vincent and Catherine Sansalone Scholarship recipient is selected by the College of Science and Technology and must be majoring in a math or science discipline with a minimum overall GPA of 3.0. Preference is given to students of Italian American heritage. Students may be required to submit a paper describing the influences of their heritage and culture in their life.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",Vincent and Catherine Sansalone Scholarship
0,109 Governor Street,Suite 1016-East,"Richmond, VA 23219",incentiveprograms@vdh.virginia.gov,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships/vdh-nursing-scholarships/,"The Nursing Scholarship Program is for students in a practical nurse program (LPN) or a registered nurse (RN) program and who are accepted or enrolled a school of nursing in the State of Virginia. Scholarship recipients must agree to engage in full-time nursing in Virginia for one month for every $100 received.(adsbygoogle = window.adsbygoogle || []).push({});Applicants must reside in Virginia for at least one year and be accepted or enrolled as a full-time or part-time student in a school of nursing in Virginia. Must have a GPA of at least a 3.0 (RN only) and demonstrate financial need. For more information or to apply, please visit the scholarship provider's website.",VDH Nursing Scholarships
0,Valparaiso Univeristy,1700 Chapel Drive,"Valparaiso, IN 46383-6493",undergrad.admission@valpo.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships/valparaiso-university-ament-benner-scholarship/,"The Ament-Brenner Scholarship is for members of a Lutheran congregation in the greater St. Louis area. Applicants must be preparing for a career in the healthcare field (e.g., nursing, physical or occupational therapy, pre-med etc.). Scholarship amounts vary, based on financial need. Applicants must complete the undergraduate admission application and file the FAFSA by the deadline. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Valparaiso University Ament-Benner Scholarship
0,8333 Greenwood Blvd.,,"Denver, CO 80221",scholarships@collegefund.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships/united-health-foundation-scholarship-for-tribal-colleges/,"Native American/Alaska Native undergraduate students attending tribal colleges and universities are eligible to apply for both the American Indian College Fund Full Circle Scholarship Program and the American Indian College Fund TCU Scholarship Program.(adsbygoogle = window.adsbygoogle || []).push({});Minimum general eligibility requirements for both scholarships include:-U.S. citizenship-Enrollment in an accredited tribal college or university-Registered as a member of a federal or state recognized tribe, or a descendant of at least one grandparent or parent who is an enrolled tribal member (Alaska Natives may also use Native Corporation membership)-Submission of a completed on-line applicationExtra Eligibility for the United Health Foundation Scholarship:-Be a Freshman or Sophomore-Minimum 3.0 GPA-Enrolled at Dine College, Tohono O'odham Community College, or Navajo Technical College-Majoring in a health or related field-Interest in serving communities in need-Demonstrated financial needFor more information or to apply, please visit the scholarship provider's website.",United Health Foundation Scholarship for Tribal Colleges
0,8333 Greenwood Blvd.,,"Denver, CO 80221",scholarships@collegefund.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships/united-health-foundation-scholarship/,"The American Indian College Fund Full Circle Scholarship Program scholarships are awarded to students attending non-tribal colleges.(adsbygoogle = window.adsbygoogle || []).push({});Minimum general eligibility requirements for Full Circle scholarships include:-U.S. citizenship-Enrolled full-time in an accredited public or private (non-profit) college or university-Registered as a member of a federal or state recognized tribe, or a descendant of at least one grandparent or parent who is an enrolled tribal member (Alaska Natives may also use Native Corporation membership)-Submission of a completed on-line applicationExtra Eligibility for the United Health Foundation Scholarship:-Be a Freshman, Sophomore, Junior, Senior in college-Minimum 3.0 GPA-Be enrolled at, Arizona State University, Northern Arizona University, San Juan College-Farmington, the University of Arizona, the University of New Mexico-Albuquerque, or Western New Mexico University-Majoring in a health or health-related field-Interest in serving communities in need-Have financial needFor more information or to apply, please visit the scholarship provider's website.",United Health Foundation Scholarship
