,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,1600 Wilson Boulevard,Suite 801,"Arlington, VA 22209",wifle@comcast.net,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/wifle-scholarship-program/,"WIFLE Foundation, Inc. and Women in Federal Law Enforcement, Inc. (both known as WIFLE) are organizations with a goal to achieve gender equity within federal law enforcement through the recruitment, retention, and promotion of qualified women. WIFLE offers several scholarships to talented individuals to meet the demands in the field of law enforcement and to foster the professional development of those engaged in Law Enforcement.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Physically attend and be a full-time student at an accredited four-year college or university; or be currently enrolled in a full-time in a fully accredited community college with the intention of transferring to a four-year degree-Have completed at least one full academic year of college work at an accredited college or university or community college-Major in criminal justice or related discipline such as social sciences, public administration, computer science, finance, linguistic arts, chemistry, physics, etc., leading to a four-year degree (students in graduate and post-graduate programs are also eligible. Students pursuing associate degrees are not eligible, unless as stated above, fully articulate in the application their intention to transfer to a four-year program)-Have a minimum 3.0 overall GPA-Demonstrate a commitment to the community through a 500-word essay describing their involvement in a community project, and the results or impact of that involvement to the community or if the applicant if currently serving or has served an internship with a law enforcement agency, preferably a federal law enforcement agency, the applicant mustprovide details including the name if the agency, the dates served and describe the value of the experience and the accomplishment through the internship in a 500-word essay-Have at least one community leader or member of a community or police official sponsor their application with a written statement of support-Be a citizen of the United StatesFor more information or to apply, please visit the scholarship provider's website.",WIFLE Scholarship Program
0,1605 NW Sammamish Rd.,Suite 200,"Issaquah, WA 98027-5388",info@waopportunityscholarship.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/washington-state-opportunity-scholarship/,"The Washington State Opportunity Scholarship (WSOS) supports low- and middle-income students pursuing eligible high-demand majors in science, technology, engineering, math (STEM) or health care and encourages recipients to work in Washington state once they complete their degrees. Students must have a minimum 2.75 GPA and plan to enroll in an eligible Washington state college or university.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",Washington State Opportunity Scholarship
0,Valparaiso Univeristy,1700 Chapel Drive,"Valparaiso, IN 46383-6493",undergrad.admission@valpo.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/valparaiso-university-ament-benner-scholarship/,"The Ament-Brenner Scholarship is for members of a Lutheran congregation in the greater St. Louis area. Applicants must be preparing for a career in the healthcare field (e.g., nursing, physical or occupational therapy, pre-med etc.). Scholarship amounts vary, based on financial need. Applicants must complete the undergraduate admission application and file the FAFSA by the deadline. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Valparaiso University Ament-Benner Scholarship
0,245 Washington St.,#4666,"Saratoga Springs, NY 12866",melaniescholarship@live.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/the-melanie-foundation-scholarship/,"The Melanie Foundation Scholarship is awarded to a candidate pursuing a doctoral or master's degree in the mental health field. You must be currently enrolled or accepted into a graduate program majoring in the mental health field in the United States and demonstrate experience and interest in one or more of the ideals to which Melanie Merola O’Donnell committed herself. The scholarship will be awarded to a candidate for one year. Candidates may reapply for additional years. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The Melanie Foundation Scholarship
0,216 West Jackson Blvd.,Suite 700,"Chicago, IL 60606",jvsscholarship@jvschicago.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/the-jewish-federation-of-metropolitan-chicago-academic-scholarship/,"Educational scholarship funds from grants administered by the Jewish Federation of Metropolitan Chicago are available for Jewish college and graduate students. Approximately $500,000 is available each year for full-time students, predominantly those legally domiciled in the metropolitan Chicago area, who are identified as having promise for significant contributions in their chosen careers. Assistance is available primarily for those with financial need who are pursuing careers in the helping professions.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Must be Jewish-Must have been born and raised in Chicago metropolitan area, including Lake County, Indiana; or one continuous year of full-time employment in the Chicago metro area prior to enrollment-Intend to remain in the Chicago metropolitan area after completing school-Are entering an accredited graduate program in a helping profession on a full-time basis for the full academic year-Are entering your junior or senior years of an accredited bachelor's degree program in a helping profession on a full-time basis for the full academic year-Demonstrate financial need-Demonstrate career promise-Are available for an in-person interview between March 1 and April 20For more information or to apply, please visit the scholarship provider's website.",The Jewish Federation of Metropolitan Chicago Academic Scholarship
0,935 Eldridge Road,Box 200,"Sugar Land, TX 77478",jackiespellmanfoundation@gmail.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/the-jackie-spellman-scholarship/,"The Jackie Spellman Scholarship is open to U.S. citizens who have been impacted in some way by leukemia or lymphoma, either as survivors, individuals diagnosed with leukemia or lymphoma, or individuals who have a member of his or her immediate family who have or had leukemia or lymphoma while living in the same household. Eligible students include high school seniors or those attending community college, a four-year university, or graduate school.(adsbygoogle = window.adsbygoogle || []).push({});This scholarship is available to:-Graduating high school seniors that will attend a nationally recognized/accredited, community college, four-year university, and graduate students who are leukemia or lymphoma patients and/or are children, siblings, or parents of leukemia or lymphoma patients. A letter from the treating doctor must also be supplied to certify that the individual or applicant's sibling or parent has/had leukemia or lymphoma, or a Certificate of Death stating leukemia or lymphoma as the cause of death-Students who plan to enroll full time at a nationally accredited college or university-Students with a minimum 3.0 GPA-Students who demonstrate financial need-Prior scholarship winners are eligible to applyFor more information or to apply, please visit the scholarship provider's website.",The Jackie Spellman Scholarship
0,1411 W. 190th Street,Suite 700,"Gardena , CA 90248",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/the-hispanic-scholarship-fund-college-scholarships/,"HSF/ General College Scholarships are designed to assist students of Hispanic heritage in obtaining a college degree. Scholarships are available on a competitive basis to graduating high school seniors, community college transfer students, undergraduate students and graduate students. Applicants must be of Hispanic heritage and have a minimum of 3.0 GPA for high school students. A minimum of 2.5 GPA for college and graduate students. Plan to enroll full-time in an accredited not-for-profit, four-year university or graduate school during the fall of the scholarship cycle year. U.S. Citizen, permanent legal resident, DACA or eligible non-citizen. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The Hispanic Scholarship Fund College Scholarships
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/scarlett-family-foundation-scholarship/,"Scarlett Family Foundation Scholarships are open to high school seniors and college freshmen, sophomores, and juniors who will graduate or have graduated from high school in one of the following Middle Tennessee counties: Bedford, Cannon, Cheatham, Clay, Coffee, Cumberland, Davidson, Dekalb, Dickson, Fentress, Franklin, Giles, Hickman, Houston, Humphreys, Jackson, Lawrence, Lewis, Lincoln, Macon, Marshall, Maury, Montgomery, Moore, Overton, Perry, Pickett, Putnam, Robertson, Rutherford, Smith, Stewart, Sumner, Trousdale, Van Buren, Warren, Wayne, White, Williamson and Wilson.(adsbygoogle = window.adsbygoogle || []).push({});Scarlett Family Foundation scholarships are open to middle Tennessee high school seniors, who will graduate or obtain a GED prior to June 1st and to college freshman, sophomores and juniors.Applicants must demonstrate financial need and must be planning to pursue a business degree at a four-year, not-for-profit college. Must have a minimum GPA of 2.5 and must be pursuing a business or STEM approved degree at a 4 year, non-profit college or university, with the intent to enroll full-time in the fall. For more information and to apply, please visit the scholarship provider's website.",Scarlett Family Foundation Scholarship
0,P.O. Box 91803,,"Pasadena, CA 91109",scholarships@noglstp.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/out-to-innovate-scholarships-for-lgbtqstem-students/,"NOGLSTP established the Out To Innovate Scholarships for LGBTQ STEM students which are intended for undergraduate and graduate students pursuing degrees in science, technology, engineering, or mathematics (STEM) programs who are either lesbian, gay, bisexual, transgender, queer or an active ally of the LGBTQ community. One scholarship will go to an undergraduate student, and one will go to a graduate/professional level student. Applicants must have successfully completed a minimum of two years of post-high school education at an accredited college or university, have a minimum 3.0 GPA, a declared major in an accredited STEM or STEM-related teaching field and be an active supporter of and participant in programs or organizations that promote LGBTQ inclusion and visibility. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Out To Innovate Scholarships for LGBTQ+STEM Students
0,1818 N Street NW,Suite 500,"Washinton, DC 20036",info@nsfgradfellows.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/nsf-graduate-research-fellowship-program/,"The National Science Foundation's Graduate Research Fellowship Program helps ensure the vitality of the human resource base of science and engineering in the United States and reinforces its diversity. The prestigious program recognizes and supports outstanding graduate students in NSF-supported science, technology, engineering, and mathematics (STEM) disciplines who are pursuing research-based masters and doctoral degrees in the U.S. and abroad.(adsbygoogle = window.adsbygoogle || []).push({});NSF Fellows are expected to become knowledge experts who can contribute significantly to research, teaching, and innovations in science and engineering. These individuals will be crucial to maintaining and advancing the nation's technological infrastructure and national security as well as contributing to the economic well-being of society at large. So that the nation can build fully upon the strength and creativity of a diverse society, the Foundation welcomes applications from all qualified individuals and strongly encourages women, minorities, and persons with disabilities to compete fully in this program.Deadlines vary by field(s) of study.For more information or to apply, please visit the scholarship provider's website.",NSF Graduate Research Fellowship Program
0,124 N. Alfred St,,"Alexandria, VA 22314",mail@nfrw.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/nfrw-national-pathfinder-scholarship/,"The National Pathfinder Scholarship Fund was established in 1985 in honor of First Lady Nancy Reagan. Applicants must be currently enrolled in an undergraduate or graduate program such as chemistry, sociology, psychology or pharmacology, with intended careers in chemical, biological, or medical research, or counseling of addicts and their families. Applicants must submit an application to their State Federation President by June 1st. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",NFRW National Pathfinder Scholarship
0,P.O. Box 60052,,"Shoreline, WA 98160-0052",nmcarman@aol.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/nellie-martin-carman-scholarship-fund/,"The Nellie Martin Carman Scholarship is available to graduating seniors from public high schools in King, Pierce, and Snohomish counties in Washington state. Application forms are only available through these high schools and candidates for the scholarship are nominated by their school each year. Scholarships are renewable for four years of college in the state of Washington. Music, sculpture, drawing, interior decorating or domestic science are not accepted as major subject courses. For more information and to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Nellie Martin Carman Scholarship Fund
0,204 E Street NE,,"Washington, DC 20002",scholarship@spaceclub.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/national-space-club-keynote-scholarships/,"Provided to a high school senior, undergraduate or graduate student with definite plans to pursue a career in the science, technology, engineering or mathematics (STEM) fields.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Must be a U.S. citizen-The scholarship is open to seniors in high school through graduate students-The applicant must have the intention of pursuing a career in the STEM fields and plan to attend an accredited U.S college or university to follow a course of study to pursue a career in the STEM field, with a preference for those with space related interests-The applicant can only use the $10,000 scholarship towards tuition for the coming academic year-The applicant must not have previously spoken at the Robert H. Goddard Memorial Dinner-The applicant may apply for any of the scholarships offered by the National Space Club (Robert H. Goddard Memorial Scholarship, Olin E Teague Scholarship, Keynote Scholarship) in the same year, but may only win one in the same yearIn addition:-Completed application and video must be uploaded to the National Space Club website-If chosen to continue, the recipient must be available to speak with the NSC executive committee for a live audition via Skype on January 6th-The recipient must be available to speak at the Goddard Memorial Dinner. Travel and lodging for the recipient and one guest will be provided by the National Space Club-Scholarship check will be provided to the college or university made payable to the applicable college or university no later than June 1st of next year-Non-recipients will not be notified. Applicants may check our website for announcement of the scholarship winnerFor more information or to apply, please visit the scholarship provider's website.",National Space Club Keynote Scholarships
0,P.O. Box 1873,,"Greenville, MS 38701",najanet@bellsouth.net,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/naja-graduate-scholarship-program/,"The National Association of Junior Auxiliaries, Inc. (NAJA) was established in 1941 with the purpose of uniting members ""to render charitable services which are beneficial to the general public, with particular emphasis on children, and to cooperate with other organizations performing similar services."" Today, the growing Association continues the focus of meeting the needs of children and youth in keeping with the NAJA slogan: ""Care Today, Character Tomorrow.""(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Working or planning to work directly with children-Pursuing graduate-level studies for one year in fields which address the special needs of children and youth. Graduate fields of study include, but are not limited to counseling, psychology, mental health, special education, speech pathology, exceptional children, remedial skills development, hearing impaired, gifted and talented, etc.; scholarships are not awarded for graduate work in administration or general education-U.S. citizens and permanent residents of a state with a Junior Auxiliary Chapter: Alabama, Arkansas, Florida, Louisiana, Mississippi, Missouri, and Tennessee-Planning to attend a U.S. college or university for full-time or part-time studyFor more information or to apply, please visit the scholarship provider's website.",NAJA Graduate Scholarship Program
0,100 S Main Ave.,Suite 202,"Sidney, OH 45365-2771",info@commfoun.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/medical-and-health-professions-scholarship/,"To be eligible for the Medical & Health Professions Scholarship, applicants must be graduates of high schools within Shelby County (Ohio) or residents of any public school district within Shelby County pursuing a certificate or an associate, bachelor's, or master's degree in medical and associated health professions. Students must have a minimum 2.0 GPA.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",Medical & Health Professions Scholarship
0,930 E. 50th Street,,"Chicago , IL 60615",mchambers@rainbowpush.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/jesse-l-jackson-fellows-toyota-scholarship/,"The Jesse Jackson Fellows-Toyota Scholarship is a renewable scholarship that awards up to $25,000 dollars annually to deserving African-American college sophomores. Students who are interested in applying for the scholarship must have a minimum cumulative 3.0 GPA, be a business or STEM (Science, technology, engineering and/or math) major that can be applied to the automotive industry, demonstrated participation in community service and need for financial assistance. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Jesse L. Jackson-Fellows Toyota Scholarship
