,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,245 Washington St.,#4666,"Saratoga Springs, NY 12866",melaniescholarship@live.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/the-melanie-foundation-scholarship/,"The Melanie Foundation Scholarship is awarded to a candidate pursuing a doctoral or master's degree in the mental health field. You must be currently enrolled or accepted into a graduate program majoring in the mental health field in the United States and demonstrate experience and interest in one or more of the ideals to which Melanie Merola O’Donnell committed herself. The scholarship will be awarded to a candidate for one year. Candidates may reapply for additional years. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The Melanie Foundation Scholarship
0,216 West Jackson Blvd.,Suite 700,"Chicago, IL 60606",jvsscholarship@jvschicago.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/the-jewish-federation-of-metropolitan-chicago-academic-scholarship/,"Educational scholarship funds from grants administered by the Jewish Federation of Metropolitan Chicago are available for Jewish college and graduate students. Approximately $500,000 is available each year for full-time students, predominantly those legally domiciled in the metropolitan Chicago area, who are identified as having promise for significant contributions in their chosen careers. Assistance is available primarily for those with financial need who are pursuing careers in the helping professions.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Must be Jewish-Must have been born and raised in Chicago metropolitan area, including Lake County, Indiana; or one continuous year of full-time employment in the Chicago metro area prior to enrollment-Intend to remain in the Chicago metropolitan area after completing school-Are entering an accredited graduate program in a helping profession on a full-time basis for the full academic year-Are entering your junior or senior years of an accredited bachelor's degree program in a helping profession on a full-time basis for the full academic year-Demonstrate financial need-Demonstrate career promise-Are available for an in-person interview between March 1 and April 20For more information or to apply, please visit the scholarship provider's website.",The Jewish Federation of Metropolitan Chicago Academic Scholarship
0,935 Eldridge Road,Box 200,"Sugar Land, TX 77478",jackiespellmanfoundation@gmail.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/the-jackie-spellman-scholarship/,"The Jackie Spellman Scholarship is open to U.S. citizens who have been impacted in some way by leukemia or lymphoma, either as survivors, individuals diagnosed with leukemia or lymphoma, or individuals who have a member of his or her immediate family who have or had leukemia or lymphoma while living in the same household. Eligible students include high school seniors or those attending community college, a four-year university, or graduate school.(adsbygoogle = window.adsbygoogle || []).push({});This scholarship is available to:-Graduating high school seniors that will attend a nationally recognized/accredited, community college, four-year university, and graduate students who are leukemia or lymphoma patients and/or are children, siblings, or parents of leukemia or lymphoma patients. A letter from the treating doctor must also be supplied to certify that the individual or applicant's sibling or parent has/had leukemia or lymphoma, or a Certificate of Death stating leukemia or lymphoma as the cause of death-Students who plan to enroll full time at a nationally accredited college or university-Students with a minimum 3.0 GPA-Students who demonstrate financial need-Prior scholarship winners are eligible to applyFor more information or to apply, please visit the scholarship provider's website.",The Jackie Spellman Scholarship
0,"UAS7 NY, Rm. 1508",871 United Nations Plaza,"New York, NY 10017",apply@uas7.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/study-and-internship-program-sip-in-germany-uas7/,"Internships typically last 5-6 months, but UAS7 research internships may run from 2-6 months, depending on the specifications of the project description. Recipients will receive a full tuition waiver for both semesters (enrollment is also required during the internship to maintain residency in Germany) and the benefits provided to exchange students at the host UAS. Successful SIP applicants are eligible for a UAS7 Travel Scholarship.(adsbygoogle = window.adsbygoogle || []).push({});Applicants must be full-time sophomores or juniors in good academic standing and currently enrolled in an undergraduate program at an accredited U.S. or Canadian college/university, in a field represented on UAS7 campuses.Competitive applicants will have a minimum 3.0 GPA, language skills commensurate with their proposed course of study and internship in Germany, strong support from academic and study abroad advisors, and a well-reasoned study plan and statement of motivation.For more information or to apply, please visit the scholarship provider's website.",Study & Internship Program (SIP) in Germany - UAS7
0,1300 Dexter Ave North,Suite 400,"Seattle, WA 98109",scholarship@aplaceformom.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/senior-wisdom-video-scholarship/,"A Place for Mom is proud to offer a scholarship to university students interested in the fields of aging and gerontology. As North America's largest senior living referral service, we know the importance of supporting the training and education of our future senior care leaders. This scholarship will be awarded to a citizen or a permanent resident of the United States or Canada (excluding Quebec) who is enrolled and currently taking classes at an accredited college or university in the United States or Canada (excluding Quebec).(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-The annual scholarship award is for four students enrolled in a certificate, associate's degree, bachelor's degree, or graduate-level program in a medical, nursing, or social sciences related major. The student must be planning on pursuing a career that involves working with senior citizens. The applicant must be attending classes at an accredited college or university at the time of the spring deadline-Employees of A Place for Mom and members of their immediate family (spouse, parent, child, sibling, and their respective spouses, regardless of where they reside) and persons living in the same household, whether or not related, of such employees, are not eligible to apply-Applicants must complete the student information form, and a 2-3 minute video capturing  the theme of “The Value of Seniors in Our Lives and Benefits to Society.”For more information or to apply, please visit the scholarship provider's website.",Senior Wisdom Video Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/maryland-graduate-and-professional-school-scholarship-program/,"To apply for this program, you must be a Maryland resident and demonstrate financial need. You must be enrolled as a degree-seeking student, either part-time or full-time, and attend one of the following schools: University of Maryland, Baltimore (UMB) Schools of Medicine, Dentistry, Law, Pharmacy, or Social Work; University of Baltimore School of Law; The Johns Hopkins University School of Medicine; The Virginia-Maryland Regional College of Veterinary Medicine, or certain Maryland institutions offering a master’s degree in nursing or social work or a first professional degree in pharmacy.(adsbygoogle = window.adsbygoogle || []).push({});Eligible graduate/professional majors include dentistry, law, medicine, nursing, pharmacy, social work, and veterinary medicine.For more information or to apply, please visit the scholarship provider's website.",Maryland Graduate and Professional School Scholarship Program
0,751 West Fourth Street,Suite 200,"Winston-Salem, NC 27101-2702",studentaid@wsfoundation.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/marcus-raper-zimmerman-fund/,"The purpose of the fund is to provide post-secondary scholarship assistance to handicapped individuals, or to those persons preparing themselves to work with the handicapped. The scholarship may provide a non-renewable award for students who will pursue a first-time, two- or four-year degree, certificate, or diploma from accredited post-secondary(adsbygoogle = window.adsbygoogle || []).push({});institutions. Scholarships will be applied to the cost of undergraduate tuition, fees, room and board, and other college expenses.Eligibility:-Be residents of Forsyth County-Have a minimum cumulative unweighted GPA of 2.0-Be enrolled a minimum of six credit hours/semester during the academic year in a program leading to a first-time two- or four-year degree, certificate, or diploma from an accredited institution that participates in the federal student aid program-Be a U.S. citizen-Be physically challenged or preparing to work in a profession related to serving the physically challengedFor more information or to apply, please visit the scholarship provider's website.",Marcus Raper Zimmerman Fund
0,P.O. Box 2000,Champlain Mill,"Winooski, VT 05404",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/elizabeth-j-davis-scholarship/,"The Elizabeth J. Davis Scholarship was established to assist home care professionals with obtaining advanced degrees, as well as students seeking a bachelor's or associate's degrees in a health profession.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility- Attends an accredited college/university, or community college (does not have to be in Vermont)- Studying nursing (RN or LPN), physical therapy, speech therapy, occupational therapy, or medical social work- Demonstrate financial need- Be a Vermont state resident- Plans to work in home care in the state of Vermont after graduation- Write two brief essaysFor more information or to apply, please visit the scholarship provider's website.",Elizabeth J. Davis Scholarship
0,Bethesda Lutheran Communities,600 Hoffman Drive,"Watertown, WI 53094",chris.dovnik@mailblc.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/bethesda-lutheran-communities-lutheran-student-scholastic-and-service-scholarship/,"Bethesda Lutheran Communities offers two scholarships to Lutheran students pursuing undergraduate degrees in any area of service to people with developmental disabilities.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility/Requirements:Be an active, communicant member of a Lutheran congregation. Be a freshmen, sophomore, or junior at an accredited college/university. Have a minimum 3.0 GPA. Have a career objective in the field of intellectual and developmental disabilities.",Bethesda Lutheran Communities Lutheran Student Scholastic & Service Scholarship
0,1250 24th St. NW,Suite 500,"Washington, DC 20037",info@allwomeninmedia.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/awmf-and-loreen-arbus-foundation-focus-on-disability-scholarship/,"The AWM Foundation's partnership with the Loreen Arbus Foundation focuses on the achievements and contributions of citizens with disabilities. This journalist scholarship program consists of one $2,500 scholarship, made payable directly to the winning student's educational institute. The winning applicant must also be able to attend AWMF's Gracies Awards Luncheon in June in New York City to receive the scholarship.(adsbygoogle = window.adsbygoogle || []).push({});The scholarship is open to female undergraduate and graduate students studying media, journalism, English, communications and related fields. Applicants must submit a 750-1,000 word essay on a suggested topic.For more information or to apply, please visit the scholarship provider's website.",AWMF & Loreen Arbus Foundation Focus on Disability Scholarship
